x,Major taste (70%),Minor taste (30%)
0,5.5,-0.611111111
1,11.30952381,-3.277777778
2,17.89285714,-4.861111111
3,24.63095238,-5.472222222
4,31.23809524,-6.888888889
5,39.83333333,-8.055555556
6,46.64285714,-9.944444444
7,53.05952381,-12.13888889
8,60.29761905,-14.02777778
9,66.3452381,-16.69444444
10,71.98809524,-18.86111111
11,78.23809524,-20.55555556
12,85.02380952,-22.94444444
13,90.96428571,-24.80555556
14,95.23809524,-25.11111111
15,101.1904762,-25.55555556
16,106.7142857,-26.88888889
17,112.3333333,-26.88888889
18,117.2380952,-27.77777778
19,123.6190476,-28.44444444
20,128.9642857,-27.13888889
21,132.2738095,-25.75
22,135.1666667,-23.38888889
23,137.1190476,-22.94444444
24,137.5238095,-21.22222222
25,138.797619,-17.30555556
26,142.1309524,-14.75
27,145.797619,-15.30555556
28,150.6904762,-15.94444444
29,155.9047619,-16.77777778
30,160.6785714,-17.91666667
31,165.7738095,-17.58333333
32,170.3690476,-18.63888889
33,175.5,-17.94444444
34,179.5238095,-17.33333333
35,182.3690476,-14.97222222
36,184.547619,-11.05555556
37,184.452381,-6.944444444
38,184.1190476,-3.388888889
39,186.2619048,-1.722222222
40,191.2619048,-1.722222222
41,193.5,0.166666667
42,193.4642857,4.138888889
43,191.6190476,10.33333333
44,190.7261905,16.97222222
45,191.2261905,20.91666667
46,194.6071429,22.02777778
47,198.7261905,23.86111111
48,203.0238095,24.5
49,207.047619,27
50,212.1309524,27.25
51,217.3809524,26.77777778
52,221.1904762,28.22222222
53,223.1785714,30.13888889
54,224.7857143,31.94444444
55,226.6428571,34.83333333
56,229.6190476,39.55555556
57,231.952381,43.77777778
58,232.797619,48.80555556
59,232.7738095,55.75
60,232.5,61.16666667
61,234.1666667,65.94444444
62,234.9166667,71.52777778
63,234.9761905,77.83333333
64,235.1428571,81.5
65,233.5714286,88.47222222
66,231.9880952,95.22222222
67,229.702381,102.5
68,227.5595238,107.5
69,225.0595238,111.25
70,222.797619,119.5833333
71,220.6547619,124.5833333
72,218.6309524,130.8333333
73,216.7261905,137.5
74,215.1190476,143.75
75,213.5714286,151.25
76,211.7857143,156.6666667
77,210.1190476,161.25
78,209.2261905,165.8333333
79,208.2738095,171.25
80,207.5,175.4166667
81,206.3690476,177.9166667
82,205.7142857,182.9166667
83,204.6428571,187.0833333
84,203.9285714,189.5833333
85,203.3928571,190.4166667
86,202.9761905,192.0833333
87,202.6190476,194.1666667
88,202.3214286,195.4166667
89,201.9642857,197.0833333
90,201.6666667,198.3333333
91,201.0714286,199.1666667
92,200.7142857,199.5833333
93,200.5357143,200
94,200.4761905,200
95,200.4761905,200
96,200.1785714,200
97,200.1190476,200
98,200.1190476,200
99,200.1190476,200
100,200,200
101,200,200
102,200,200
103,200,200
104,200,200
105,200,200
106,200,200
107,200,200
108,200,200
109,200,200
110,200,200
111,200,200
112,200,200
113,200,200
114,200,200
115,200,200
116,200,200
117,200,200
118,200,200
119,200,200
120,200,200
121,200,200
122,200,200
123,200,200
