x,Major taste(90%),Minor taste(10%)
0,7.462962963,-2.5
1,14.51851852,-5
2,21.75925926,-7.5
3,28.22222222,-9
4,34.87037037,-11.5
5,41.39814815,-13.58333333
6,47.10185185,-14.25
7,52.42592593,-14.16666667
8,59.12962963,-14.83333333
9,65.94444444,-16.5
10,72.43518519,-18.58333333
11,78.93518519,-21.08333333
12,85.38888889,-24.83333333
13,91.56481481,-28.41666667
14,98.87962963,-27.91666667
15,104.8888889,-31
16,111.6944444,-30.91666667
17,118.4074074,-32
18,125.75,-33.75
19,132.6574074,-34.58333333
20,138.5925926,-37.33333333
21,145.0925926,-37.5
22,150.2037037,-38.5
23,156.0462963,-38.08333333
24,162.5555556,-38.33333333
25,167.9074074,-36.5
26,172.4074074,-37
27,178.0092593,-36.75
28,184.037037,-38
29,188.3055556,-38.41666667
30,193.8055556,-38.58333333
31,199.0555556,-40.5
32,204.2314815,-40.41666667
33,208.8703704,-39.5
34,211.7592593,-36.83333333
35,213.6851852,-33.83333333
36,216.4166667,-27.75
37,221.6851852,-28.16666667
38,225.9444444,-27.83333333
39,229.7592593,-28.5
40,235.9444444,-27.16666667
41,240.2592593,-26.33333333
42,243.6574074,-23.25
43,247.7777778,-21.33333333
44,250.5462963,-12.25
45,250.3425926,-4.75
46,250.2685185,0.25
47,251.7962963,3.5
48,253.3148148,5.5
49,254.1481481,5.666666667
50,253.8611111,12.91666667
51,255.1666667,16.5
52,255.1944444,18.25
53,256.3148148,20.5
54,255.3981481,26.08333333
55,253.787037,32.58333333
56,252.7592593,37.5
57,250.7037037,44
58,250.6388889,49.75
59,249.6666667,56.25
60,247.5740741,56.25
61,245.1944444,65
62,242.7777778,71.25
63,240.2777778,77.5
64,237.8240741,82.5
65,235.462963,92.5
66,232.8240741,96.25
67,230.3240741,100
68,228.2407407,108.75
69,226.0648148,112.5
70,224.0740741,125
71,222.2685185,138.75
72,220.6481481,143.75
73,218.9351852,157.5
74,216.9907407,165
75,215.1851852,166.25
76,213.3333333,171.25
77,211.712963,173.75
78,210.1388889,178.75
79,208.9351852,181.25
80,207.6388889,182.5
81,206.5277778,182.5
82,205.2777778,183.75
83,204.1666667,185
84,203.287037,185
85,202.4537037,185
86,201.8055556,185
87,201.4814815,185
88,201.0648148,186.25
89,200.8796296,187.5
90,200.7407407,190
91,200.5555556,190
92,200.4166667,190
93,200.3703704,190
94,200.1851852,191.25
95,200.1851852,191.25
96,200.1851852,195
97,200.1851852,195
98,200.1388889,198.75
99,200.0925926,200
100,200,200
101,200,200
102,200,200
103,200,200
104,200,200
105,200,200
106,200,200
107,200,200
108,200,200
109,200,200
110,200,200
111,200,200
112,200,200
113,200,200
114,200,200
115,200,200
116,200,200
117,200,200
118,200,200
119,200,200
120,200,200
