x,doc-pop Major taste(70),peer-sim Minor taste(30%)
0,5.5,2.722222222
1,2.94047619,7.916666667
2,0.738095238,15.94444444
3,-1.821428571,23.02777778
4,-4.261904762,30.94444444
5,-6.761904762,38.11111111
6,-9.321428571,45.19444444
7,-10.85714286,54.77777778
8,-12.3452381,63.69444444
9,-14.36904762,68.30555556
10,-16.61904762,74.22222222
11,-18.10714286,85.02777778
12,-19.45238095,92.72222222
13,-20.63095238,100.8055556
14,-20.44047619,106.0277778
15,-19.69047619,112.1666667
16,-18.07142857,118.8333333
17,-17.0952381,125.6666667
18,-18.16666667,134.1666667
19,-19.30952381,142.1666667
20,-20.98809524,147.3055556
21,-22.94047619,153.6388889
22,-23.82142857,160.25
23,-25.11904762,165.2777778
24,-25.94047619,171.8611111
25,-26.80952381,178.6666667
26,-26.11904762,185.8333333
27,-23.4047619,189.1666667
28,-22.13095238,194.5277778
29,-21.27380952,201.9722222
30,-22.08333333,209.0833333
31,-22.98809524,214.75
32,-24.27380952,223.3055556
33,-25.75,230.0833333
34,-26.25,235.1388889
35,-26.32142857,239.6388889
36,-25.85714286,243.8888889
37,-25.36904762,245.0833333
38,-23.96428571,250.25
39,-22.38095238,255.8888889
40,-20.29761905,262.25
41,-19.94047619,266.4166667
42,-18.44047619,270.25
43,-17.07142857,273.1666667
44,-17.4047619,274.2777778
45,-15.95238095,274.8888889
46,-13.35714286,275.1666667
47,-8.392857143,273.9166667
48,-2.107142857,271.8055556
49,3.130952381,271.1388889
50,9.035714286,269.3611111
51,16.69047619,267.8333333
52,22.66666667,265.4444444
53,29.28571429,263.3333333
54,35.05952381,259.8611111
55,42.33333333,257.2222222
56,50.9047619,255.5555556
57,58.04761905,252.9166667
58,64.78571429,249.8611111
59,70.80952381,246.3888889
60,78.13095238,243.8888889
61,85.04761905,241.25
62,90.70238095,238.4722222
63,96.76190476,235.4166667
64,103.7261905,232.9166667
65,111.047619,230.6944444
66,117.8571429,228.1944444
67,124.4047619,225.9722222
68,130.8809524,224.0277778
69,135.4047619,221.5277778
70,139.8095238,218.75
71,146.0833333,217.2222222
72,151,215.4166667
73,156.7857143,212.6388889
74,162.1785714,210.5555556
75,167.5357143,209.0277778
76,173.25,207.7777778
77,178.2857143,206.8055556
78,182.9166667,205.9722222
79,188.047619,205
80,192.0952381,204.3055556
81,195.5952381,203.75
82,197.8333333,203.1944444
83,198.7261905,202.6388889
84,199.4761905,202.3611111
85,199.9404762,201.9444444
86,200.9880952,201.6666667
87,201.7857143,201.3888889
88,201.8333333,201.3888889
89,201.3690476,200.9722222
90,200.952381,200.9722222
91,200.7142857,200.8333333
92,200.7142857,200.8333333
93,200.5357143,200.6944444
94,200.4166667,200.5555556
95,200.297619,200.4166667
96,200.297619,200.4166667
97,200.1785714,200.1388889
98,200.1190476,200
99,200.1190476,200
100,200,200
101,200,200
102,200,200
103,200,200
104,200,200
105,200,200
106,200,200
107,200,200
108,200,200
109,200,200
110,200,200
111,200,200
112,200,200
113,200,200
114,200,200
115,200,200
