x,Major taste (70%),Minor taste (30%)
0,6.738095238,-1.277777778
1,13.98809524,-3.638888889
2,21.11904762,-5.277777778
3,26.91666667,-8.361111111
4,33.69047619,-8.944444444
5,36.79761905,-7.305555556
6,41.25,-6.138888889
7,45.9047619,-5.666666667
8,50,-5.777777778
9,55.64285714,-5.277777778
10,59.91666667,-5.472222222
11,64.4047619,-4.055555556
12,68.73809524,-3.388888889
13,72.52380952,-2.777777778
14,73.71428571,0.333333333
15,72.48809524,5.638888889
16,74,9.111111111
17,79.72619048,7.972222222
18,86.27380952,6.805555556
19,93.0952381,5
20,99.70238095,3.805555556
21,102.3571429,4.277777778
22,103,8.888888889
23,104.3095238,11.38888889
24,106.8571429,12.77777778
25,107.9047619,16.22222222
26,108.6547619,19.13888889
27,110.1428571,23.88888889
28,113.047619,26.11111111
29,117.9166667,27.30555556
30,119.8095238,31
31,120.202381,37.63888889
32,125.3928571,36.75
33,126.4404762,39.30555556
34,126.6666667,44.55555556
35,125.047619,50.88888889
36,123.7857143,55.94444444
37,123.2142857,60.27777778
38,122.1190476,69.16666667
39,120.0833333,74.13888889
40,117.9166667,82.30555556
41,115.6547619,90.69444444
42,115.5238095,95.88888889
43,122.2738095,94.91666667
44,128.6428571,94.61111111
45,133.4761905,92.33333333
46,138.9880952,91.25
47,143.4642857,92.69444444
48,146.9761905,95.94444444
49,153.8928571,94.02777778
50,160.4642857,93.80555556
51,166.1309524,96.02777778
52,171.2857143,95.11111111
53,178.8095238,94
54,183.4761905,92.55555556
55,186.1190476,92.83333333
56,190.75,95.69444444
57,193.4166667,97.36111111
58,197.9404762,98.80555556
59,200.2738095,105.25
60,200.9642857,111.0833333
61,202.7738095,114.6388889
62,204.952381,118.7777778
63,210.2738095,120.5
64,215.7619048,121.0555556
65,221.797619,119.4444444
66,225.8333333,120.3055556
67,226.702381,124.4166667
68,226.6547619,125.25
69,225.4047619,129.8055556
70,224.5952381,135.6388889
71,223.0952381,142.3055556
72,221.3095238,147.7222222
73,219.3452381,153.1388889
74,217.202381,157.0833333
75,215.0595238,160.4166667
76,213.3333333,165.4166667
77,211.547619,170.8333333
78,210.3571429,172.9166667
79,209.047619,175.8333333
80,207.6190476,181.6666667
81,206.4285714,182.9166667
82,205.5952381,187.5
83,204.8809524,190.4166667
84,203.9285714,192.0833333
85,203.3333333,192.5
86,202.9166667,194.5833333
87,202.4404762,196.25
88,201.6666667,196.6666667
89,201.6071429,198.75
90,201.3690476,200
91,201.0119048,200
92,200.8928571,200
93,200.7142857,200
94,200.7142857,200
95,200.5952381,200
96,200.4166667,200
97,200.2380952,200
98,200.2380952,200
99,200.2380952,200
100,200.1785714,200
101,200.0595238,200
102,200,200
103,200,200
104,200,200
105,200,200
106,200,200
107,200,200
108,200,200
109,200,200
110,200,200
111,200,200
112,200,200
113,200,200
114,200,200
115,200,200
116,200,200
117,200,200
118,200,200
119,200,200
120,200,200
