x,Major taste (90),Minor taste (10)
0,6.018518519,-2.5
1,13.33333333,-5
2,21.27777778,-5.833333333
3,28.84259259,-7.916666667
4,36.32407407,-9.583333333
5,43.60185185,-12.08333333
6,51.00925926,-13.75
7,57.87962963,-16.25
8,64.82407407,-18.75
9,71.98148148,-20.83333333
10,79.00925926,-23.75
11,86.23148148,-25.41666667
12,93.58333333,-27.91666667
13,100.3703704,-30
14,107.8518519,-31.66666667
15,115.8240741,-32.08333333
16,123.3425926,-33.75
17,130.6944444,-36.25
18,136.9074074,-40.83333333
19,144.5,-42.5
20,151.5740741,-45.83333333
21,158.9444444,-47.5
22,166,-50
23,173.2037037,-52.5
24,179.537037,-55.83333333
25,186.1851852,-58.33333333
26,193.1018519,-61.25
27,200.0277778,-64.58333333
28,207.0277778,-66.25
29,213.6851852,-69.16666667
30,220.2777778,-70.83333333
31,227.037037,-73.33333333
32,234.0185185,-75.83333333
33,240.3981481,-77.91666667
34,247.1481481,-80
35,251.5833333,-82.58333333
36,257.2962963,-84.66666667
37,261.4907407,-86.75
38,265.8333333,-87.83333333
39,268.6759259,-90.75
40,271.0740741,-90.33333333
41,273.6944444,-87.25
42,274.5925926,-85
43,276.1018519,-82.91666667
44,275.75,-80.41666667
45,275.3148148,-79.16666667
46,274.6851852,-72.5
47,273.2962963,-60
48,271.9259259,-55
49,270.6018519,-48.75
50,269.7685185,-41.25
51,267.4444444,-35
52,265.0833333,-28.75
53,262.537037,-22.5
54,260.3611111,-11.25
55,258.3703704,-5
56,255.8240741,1.25
57,253.4166667,11.25
58,250.962963,20
59,248.3703704,25
60,246.1481481,32.5
61,243.7407407,42.5
62,241.6574074,51.25
63,239.3055556,58.75
64,236.712963,63.75
65,234.3055556,71.25
66,231.7592593,77.5
67,229.5833333,86.25
68,227.3611111,92.5
69,225.4166667,103.75
70,223.2407407,110
71,221.4814815,120
72,219.7222222,133.75
73,218.0092593,140
74,216.25,146.25
75,215.1388889,152.5
76,213.4722222,155
77,212.2222222,166.25
78,210.9722222,175
79,209.7685185,180
80,208.8888889,181.25
81,207.962963,186.25
82,206.8981481,187.5
83,206.0648148,190
84,205.2314815,190
85,204.6296296,192.5
86,203.8888889,192.5
87,203.4722222,195
88,202.9166667,196.25
89,202.5,197.5
90,202.3148148,200
91,201.8981481,200
92,201.3888889,200
93,201.0648148,200
94,200.7407407,200
95,200.5555556,200
96,200.5092593,200
97,200.4166667,200
98,200.2777778,200
99,200.1388889,200
100,200.1388889,200
101,200.1388889,200
102,200.0925926,200
103,200,200
104,200,200
105,200,200
106,200,200
107,200,200
108,200,200
109,200,200
110,200,200
111,200,200
112,200,200
113,200,200
114,200,200
115,200,200
116,200,200
117,200,200
118,200,200
119,200,200
120,200,200
121,200,200
122,200,200
123,200,200
124,200,200
