"export-plot data (NetLogo 5.3.1)"
"helper-functions.nls.nlogo"
"07/22/2016 10:46:24:285 -0400"

"MODEL SETTINGS"
"random-seed?","the-random-seed"
"true","50"

"""payoff"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","136","0","279","true","""consumer tag1""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""consumer tag1""","true","0","1","15","119"
"""consumer tag0""","true","0","1","104","119"

"""consumer tag1""",,,,"""consumer tag0"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","7.357142857142857","15","true","0","2.8333333333333335","104","true"
"1","13.761904761904763","15","true","1","8.88888888888889","104","true"
"2","20.428571428571427","15","true","2","15.444444444444445","104","true"
"3","26.88095238095238","15","true","3","24.166666666666668","104","true"
"4","33.20238095238095","15","true","4","33.75","104","true"
"5","40.05952380952381","15","true","5","42.083333333333336","104","true"
"6","48.023809523809526","15","true","6","47.5","104","true"
"7","56.035714285714285","15","true","7","52.916666666666664","104","true"
"8","62.666666666666664","15","true","8","61.666666666666664","104","true"
"9","70.1547619047619","15","true","9","68.75","104","true"
"10","77.27380952380952","15","true","10","76.13888888888889","104","true"
"11","84.32142857142857","15","true","11","82.36111111111111","104","true"
"12","92.05952380952381","15","true","12","87.30555555555556","104","true"
"13","100.14285714285714","15","true","13","91.88888888888889","104","true"
"14","107.54761904761905","15","true","14","98.27777777777777","104","true"
"15","114.86904761904762","15","true","15","104.52777777777777","104","true"
"16","121.71428571428571","15","true","16","111.66666666666667","104","true"
"17","128.58333333333334","15","true","17","120.19444444444444","104","true"
"18","135.72619047619048","15","true","18","126.41666666666667","104","true"
"19","143.0595238095238","15","true","19","132.97222222222223","104","true"
"20","150","15","true","20","139.77777777777777","104","true"
"21","158.51190476190476","15","true","21","143.91666666666666","104","true"
"22","165.1904761904762","15","true","22","150.88888888888889","104","true"
"23","171.78571428571428","15","true","23","157.05555555555554","104","true"
"24","178.8095238095238","15","true","24","161.66666666666666","104","true"
"25","185.46428571428572","15","true","25","167.91666666666666","104","true"
"26","191.47619047619048","15","true","26","176.44444444444446","104","true"
"27","197.75","15","true","27","185.47222222222223","104","true"
"28","205.04761904761904","15","true","28","189.88888888888889","104","true"
"29","211.14285714285714","15","true","29","195.77777777777777","104","true"
"30","218.08333333333334","15","true","30","200.69444444444446","104","true"
"31","224.27380952380952","15","true","31","206.36111111111111","104","true"
"32","230.1547619047619","15","true","32","212.63888888888889","104","true"
"33","236.14285714285714","15","true","33","217.77777777777777","104","true"
"34","243.20238095238096","15","true","34","220.97222222222223","104","true"
"35","247.64285714285714","15","true","35","228.94444444444446","104","true"
"36","253.52380952380952","15","true","36","235.44444444444446","104","true"
"37","257.7857142857143","15","true","37","240.16666666666666","104","true"
"38","263.0833333333333","15","true","38","242.91666666666666","104","true"
"39","267.8333333333333","15","true","39","247.5","104","true"
"40","270.1666666666667","15","true","40","251.5","104","true"
"41","271.7261904761905","15","true","41","254.08333333333334","104","true"
