x,Setting 1 Major taste(70%),Setting 1 Minor taste (30%)
0,3.023809524,1.611111111
1,9.75,4.25
2,16.80952381,9.888888889
3,23.44047619,16.86111111
4,30.66666667,24.44444444
5,38.02380952,31.94444444
6,44.6547619,40.69444444
7,52.69047619,46.94444444
8,60.19047619,54.44444444
9,67.51190476,62.36111111
10,75.72619048,68.19444444
11,84.47619048,72.77777778
12,92.69047619,78.38888889
13,100.547619,84.61111111
14,107.7738095,90.97222222
15,115.452381,97.94444444
16,123.1190476,104.1666667
17,130.6309524,109.3055556
18,138.7380952,112.5
19,144.4047619,122.0555556
20,151.452381,127.1666667
21,157.4166667,133.6944444
22,165.2380952,138.7777778
23,170.952381,145.8888889
24,178.6428571,151.2777778
25,186.3571429,157.1666667
26,192.9880952,163.25
27,199.7261905,169.6388889
28,206.2738095,178.1388889
29,214.2261905,181.9166667
30,219.9880952,188.0277778
31,225.297619,194.4166667
32,231.8809524,199.6111111
33,238.4047619,205.1666667
34,245.1428571,210.4444444
35,250.5119048,216.3611111
36,255.2380952,222.2222222
37,260.3928571,227.5277778
38,264.9761905,231.5
39,268.3095238,238.0555556
40,272.3571429,244.3888889
41,274.2619048,249.9444444
42,276,252.8888889
43,276.952381,257.1111111
44,277.6309524,259.0833333
45,276.7142857,262.2222222
46,275.3809524,265.6666667
47,275.4761905,265.8888889
48,274.2142857,269.6111111
49,272.3571429,270.6111111
50,270.0952381,270.7777778
51,268.3928571,269.75
52,266.4047619,267.5
53,264.5238095,265.1111111
54,261.7857143,263.7222222
55,259.2857143,261.6666667
56,256.3690476,260.1388889
57,253.8095238,257.7777778
58,251.3095238,255.5555556
59,248.8690476,253.0555556
60,246.3095238,250.8333333
61,243.5714286,248.8888889
62,241.0714286,246.6666667
63,238.452381,244.5833333
64,236.0119048,242.0833333
65,233.3928571,240
66,231.1309524,237.2222222
67,228.6904762,235.1388889
68,226.25,233.1944444
69,223.6309524,231.8055556
70,221.8452381,229.0277778
71,220.3571429,227.0833333
72,218.9285714,224.5833333
73,217.3809524,222.0833333
74,216.3095238,220
75,214.6428571,218.6111111
76,213.2142857,216.3888889
77,212.0238095,214.4444444
78,210.4166667,212.7777778
79,209.3452381,210.9722222
80,208.0357143,209.0277778
81,206.6666667,207.0833333
82,205.4761905,205.9722222
83,204.5238095,205.2777778
84,203.6309524,204.3055556
85,202.9761905,203.1944444
86,202.1428571,202.7777778
87,201.547619,201.8055556
88,201.25,201.25
89,200.8928571,200.8333333
90,200.6547619,200.4166667
91,200.6547619,200.2777778
92,200.5357143,200.2777778
93,200.4761905,200.2777778
94,200.4166667,200.1388889
95,200.4166667,200
96,200.297619,200
97,200.2380952,200
98,200.2380952,200
99,200,200
100,200,200
101,200,200
102,200,200
103,200,200
104,200,200
105,200,200
106,200,200
107,200,200
108,200,200
109,200,200
110,200,200
111,200,200
112,200,200
113,200,200
114,200,200
115,200,200
116,200,200
117,200,200
