x,peer-sim Major taste(70%),doc-pop Minor taset(30%)
0,2.5,-2.5
1,8.238095238,-5
2,15.25,-7.361111111
3,23.10714286,-9.583333333
4,29.3452381,-12.91666667
5,35.95238095,-16.11111111
6,43.27380952,-18.75
7,51.13095238,-20.97222222
8,58.98809524,-23.19444444
9,67.20238095,-25.13888889
10,75.41666667,-27.08333333
11,82.73809524,-29.61111111
12,90.05952381,-31.25
13,97.91666667,-32.80555556
14,105.5952381,-33.83333333
15,113.452381,-33.72222222
16,119.8333333,-34.83333333
17,126.2738095,-35.75
18,132.9880952,-37.97222222
19,140.5119048,-39.75
20,147.5595238,-41.86111111
21,154.6666667,-43
22,162.25,-44.80555556
23,169.4047619,-47.16666667
24,177.2738095,-48.97222222
25,184.0238095,-51.38888889
26,191.1666667,-52.72222222
27,197.6309524,-55.25
28,204.3571429,-56.5
29,211.3333333,-59
30,217.75,-61.63888889
31,225.047619,-63.66666667
32,232.2142857,-65.61111111
33,238.8333333,-67.83333333
34,246.7738095,-68.80555556
35,251.4404762,-69.36111111
36,256.0357143,-70.30555556
37,261.3809524,-70.44444444
38,264.9880952,-71.75
39,268.1666667,-69.94444444
40,272.5119048,-70.19444444
41,274.4047619,-66.94444444
42,277.3452381,-65.58333333
43,278.5833333,-62.13888889
44,279.1309524,-58.63888889
45,278.9642857,-53.47222222
46,277.5238095,-49.44444444
47,276.5119048,-44.86111111
48,274.5714286,-39.44444444
49,272.0833333,-35.41666667
50,269.8571429,-30.55555556
51,267.9761905,-24.16666667
52,265.3571429,-17.5
53,262.8571429,-10
54,260.3571429,-2.5
55,258.2142857,7.5
56,255.7738095,15.41666667
57,253.3333333,23.33333333
58,251.0119048,32.08333333
59,248.6309524,39.58333333
60,246.0119048,45.83333333
61,243.3333333,51.66666667
62,241.0714286,59.58333333
63,238.3928571,63.75
64,235.7142857,69.16666667
65,233.6904762,77.5
66,231.6071429,85
67,229.2857143,89.16666667
68,227.5595238,97.5
69,224.8809524,100.8333333
70,222.5,106.6666667
71,220.5952381,114.1666667
72,218.452381,120
73,216.9642857,127.0833333
74,215,131.6666667
75,213.2738095,136.6666667
76,212.0833333,141.6666667
77,210.6547619,145.4166667
78,208.9285714,150.8333333
79,207.3809524,154.5833333
80,205.7738095,157.9166667
81,205.7738095,157.9166667
82,204.702381,163.75
83,203.8095238,167.9166667
84,202.797619,170
85,202.4404762,174.5833333
86,201.8452381,178.75
87,201.4285714,181.25
88,201.1309524,183.75
89,200.4761905,186.6666667
90,200.297619,187.5
91,200.297619,190.4166667
92,200.0595238,190.8333333
93,200,192.0833333
94,200,192.5
95,200,192.9166667
96,200,194.1666667
97,200,195.4166667
98,200,196.6666667
99,200,196.6666667
100,200,197.0833333
101,200,199.1666667
102,200,200
103,200,200
104,200,200
105,200,200
106,200,200
107,200,200
108,200,200
109,200,200
110,200,200
111,200,200
112,200,200
113,200,200
114,200,200
115,200,200
116,200,200
117,200,200
118,200,200
119,200,200
120,200,200
121,200,200
122,200,200
123,200,200
