"export-plot data (NetLogo 5.3.1)"
"helper-functions.nls.nlogo"
"07/22/2016 10:52:24:244 -0400"

"MODEL SETTINGS"
"random-seed?","the-random-seed"
"true","50"

"""payoff"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","136","0","280","true","""consumer tag1""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""consumer tag1""","true","0","1","15","121"
"""consumer tag0""","true","0","1","104","121"

"""consumer tag1""",,,,"""consumer tag0"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","2.5952380952380953","15","true","0","5.5","104","true"
"1","8.583333333333334","15","true","1","13.305555555555555","104","true"
"2","15.083333333333334","15","true","2","20.583333333333332","104","true"
"3","23.107142857142858","15","true","3","26.194444444444443","104","true"
"4","29.357142857142858","15","true","4","35.5","104","true"
"5","36.142857142857146","15","true","5","43.44444444444444","104","true"
"6","43.464285714285715","15","true","6","51.138888888888886","104","true"
"7","50.25","15","true","7","59.416666666666664","104","true"
"8","58.464285714285715","15","true","8","64.80555555555556","104","true"
"9","67.39285714285714","15","true","9","68.52777777777777","104","true"
"10","75.96428571428571","15","true","10","72.75","104","true"
"11","83.82142857142857","15","true","11","79.41666666666667","104","true"
"12","91.14285714285714","15","true","12","86.55555555555556","104","true"
"13","98.28571428571429","15","true","13","93.88888888888889","104","true"
"14","104.35714285714286","15","true","14","103.61111111111111","104","true"
"15","110.57142857142857","15","true","15","111.11111111111111","104","true"
"16","118.95238095238095","15","true","16","115","104","true"
"17","125.61904761904762","15","true","17","122.44444444444444","104","true"
"18","132.71428571428572","15","true","18","129.77777777777777","104","true"
"19","140.04761904761904","15","true","19","135","104","true"
"20","147.03571428571428","15","true","20","142.25","104","true"
"21","152.4404761904762","15","true","21","150.97222222222223","104","true"
"22","159.33333333333334","15","true","22","158.33333333333334","104","true"
"23","166.39285714285714","15","true","23","164.86111111111111","104","true"
"24","173.35714285714286","15","true","24","170.61111111111111","104","true"
"25","179.95238095238096","15","true","25","176.33333333333334","104","true"
"26","186.6904761904762","15","true","26","182.72222222222223","104","true"
"27","193.33333333333334","15","true","27","187.88888888888889","104","true"
"28","199.5","15","true","28","194.94444444444446","104","true"
"29","204.86904761904762","15","true","29","203.30555555555554","104","true"
"30","212.5595238095238","15","true","30","207.13888888888889","104","true"
"31","218.98809523809524","15","true","31","211.36111111111111","104","true"
"32","225.9404761904762","15","true","32","216.02777777777777","104","true"
"33","231.58333333333334","15","true","33","219.86111111111111","104","true"
"34","236.96428571428572","15","true","34","226.52777777777777","104","true"
"35","242.78571428571428","15","true","35","232.05555555555554","104","true"
"36","248.89285714285714","15","true","36","235.47222222222223","104","true"
"37","254.66666666666666","15","true","37","240.22222222222223","104","true"
"38","259.60714285714283","15","true","38","244.58333333333334","104","true"
