"export-plot data (NetLogo 5.3.1)"
"helper-functions.nls.nlogo"
"07/15/2016 00:33:06:965 -0400"

"MODEL SETTINGS"
"random-seed?","the-random-seed"
"true","50"

"""payoff"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","108","0","212","true",""" tag 1""","false","2"

"pen name","pen down?","mode","interval","color","x"
""" tag 1""","true","1","1","15","88"
""" tag 0""","true","1","1","104","88"

""" tag 1""",,,,""" tag 0"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","3.1","15","true","0","2.433333333333333","104","true"
"1","6.242857142857143","15","true","1","4.233333333333333","104","true"
"2","7.942857142857143","15","true","2","7.533333333333333","104","true"
"3","10.414285714285715","15","true","3","10.233333333333333","104","true"
"4","13.257142857142858","15","true","4","12.866666666666667","104","true"
"5","15.228571428571428","15","true","5","15.133333333333333","104","true"
"6","17.47142857142857","15","true","6","18.9","104","true"
"7","20.17142857142857","15","true","7","21.466666666666665","104","true"
"8","22.685714285714287","15","true","8","25","104","true"
"9","25.314285714285713","15","true","9","27.866666666666667","104","true"
"10","28.314285714285713","15","true","10","29.466666666666665","104","true"
"11","29.914285714285715","15","true","11","32.46666666666667","104","true"
"12","32.214285714285715","15","true","12","35.3","104","true"
"13","34.357142857142854","15","true","13","37.7","104","true"
"14","36.57142857142857","15","true","14","39.53333333333333","104","true"
"15","39.52857142857143","15","true","15","42.166666666666664","104","true"
"16","42.385714285714286","15","true","16","45.3","104","true"
"17","44.714285714285715","15","true","17","47.53333333333333","104","true"
"18","47.17142857142857","15","true","18","48.666666666666664","104","true"
"19","48.98571428571429","15","true","19","51.03333333333333","104","true"
"20","51.65714285714286","15","true","20","52.333333333333336","104","true"
"21","53.67142857142857","15","true","21","55.166666666666664","104","true"
"22","56.17142857142857","15","true","22","58.6","104","true"
"23","58.22857142857143","15","true","23","61.733333333333334","104","true"
"24","61.07142857142857","15","true","24","63.96666666666667","104","true"
"25","62.91428571428571","15","true","25","66.8","104","true"
"26","65.22857142857143","15","true","26","70.4","104","true"
"27","67.12857142857143","15","true","27","72.56666666666666","104","true"
"28","68.87142857142857","15","true","28","75.1","104","true"
"29","71.32857142857142","15","true","29","78.1","104","true"
"30","73.5","15","true","30","81.5","104","true"
"31","76.02857142857142","15","true","31","83.8","104","true"
"32","78.58571428571429","15","true","32","85.76666666666667","104","true"
"33","81.08571428571429","15","true","33","87.33333333333333","104","true"
"34","83.58571428571429","15","true","34","90.1","104","true"
"35","85.91428571428571","15","true","35","93","104","true"
"36","87.8","15","true","36","95.73333333333333","104","true"
"37","90.44285714285714","15","true","37","98.03333333333333","104","true"
"38","92.92857142857143","15","true","38","100.56666666666666","104","true"
"39","95.34285714285714","15","true","39","103.4","104","true"
"40","97.65714285714286","15","true","40","105.13333333333334","104","true"
"41","100.48571428571428","15","true","41","107.53333333333333","104","true"
"42","103.62857142857143","15","true","42","110","104","true"
"43","105.88571428571429","15","true","43","112.66666666666667","104","true"
"44","107.77142857142857","15","true","44","114.73333333333333","104","true"
"45","110.35714285714286","15","true","45","117.3","104","true"
"46","112.98571428571428","15","true","46","118.96666666666667","104","true"
"47","115.85714285714286","15","true","47","121.26666666666667","104","true"
"48","118.48571428571428","15","true","48","123.46666666666667","104","true"
"49","121.34285714285714","15","true","49","126.33333333333333","104","true"
"50","124.31428571428572","15","true","50","128.4","104","true"
"51","126.05714285714286","15","true","51","131.46666666666667","104","true"
"52","128.78571428571428","15","true","52","133.03333333333333","104","true"
"53","130.85714285714286","15","true","53","136.13333333333333","104","true"
"54","133.65714285714284","15","true","54","138.6","104","true"
"55","135.95714285714286","15","true","55","142.23333333333332","104","true"
"56","138.27142857142857","15","true","56","145.3","104","true"
"57","141.31428571428572","15","true","57","146.8","104","true"
"58","143.72857142857143","15","true","58","149.23333333333332","104","true"
"59","146.71428571428572","15","true","59","150.86666666666667","104","true"
"60","148.85714285714286","15","true","60","153.4","104","true"
"61","152.11428571428573","15","true","61","155.63333333333333","104","true"
"62","154.61428571428573","15","true","62","157.73333333333332","104","true"
"63","157.07142857142858","15","true","63","159.56666666666666","104","true"
"64","159.65714285714284","15","true","64","162.53333333333333","104","true"
"65","162.22857142857143","15","true","65","165.1","104","true"
"66","164.9142857142857","15","true","66","167.36666666666667","104","true"
"67","167.71428571428572","15","true","67","169.43333333333334","104","true"
"68","170.02857142857144","15","true","68","171.63333333333333","104","true"
"69","170.02857142857144","15","true","69","171.63333333333333","104","true"
"70","172.11428571428573","15","true","70","175","104","true"
"71","174.72857142857143","15","true","71","177.9","104","true"
"72","176.9","15","true","72","180.03333333333333","104","true"
"73","178.87142857142857","15","true","73","182.3","104","true"
"74","180.31428571428572","15","true","74","184.43333333333334","104","true"
"75","182.1","15","true","75","186.7","104","true"
"76","184.34285714285716","15","true","76","187.9","104","true"
"77","186.84285714285716","15","true","77","189.46666666666667","104","true"
"78","189.28571428571428","15","true","78","191.13333333333333","104","true"
"79","191.25714285714287","15","true","79","193.1","104","true"
"80","191.25714285714287","15","true","80","193.1","104","true"
"81","191.25714285714287","15","true","81","193.1","104","true"
"82","191.25714285714287","15","true","82","193.1","104","true"
"83","193.3","15","true","83","195.1","104","true"
"84","195.32857142857142","15","true","84","196.33333333333334","104","true"
"85","196.64285714285714","15","true","85","197.7","104","true"
"86","196.64285714285714","15","true","86","197.7","104","true"
"87","197.45714285714286","15","true","87","199.03333333333333","104","true"
"88","199.17142857142858","15","true","88","200","104","true"
