x,Consumer (Major taste),Consumer (Minor taste),Producer (Major taste),Producer ( Minor taste)
0,2.547619048,1.055555556,0,0
1,5.047619048,4.055555556,1.619047619,1.111111111
2,7.952380952,5.111111111,3.333333333,4.666666667
3,10.30952381,7.611111111,7.238095238,9.111111111
4,13.5,8.611111111,10.76190476,15.33333333
5,16.42857143,10.72222222,16.28571429,18.88888889
6,19.14285714,11.94444444,22.38095238,26.44444444
7,21.47619048,13.27777778,28.66666667,31.11111111
8,24.33333333,14.16666667,33.33333333,39.77777778
9,26.38095238,16.16666667,39.14285714,44
10,30.02380952,17.61111111,42.76190476,52.66666667
11,33.80952381,19.72222222,51.14285714,55.33333333
12,37.35714286,21.33333333,57.71428571,63.11111111
13,40.0952381,22.77777778,64,71.55555556
14,42.71428571,24.72222222,72.47619048,77.55555556
15,44.64285714,26.27777778,78.76190476,85.55555556
16,48.11904762,29,85.23809524,88.44444444
17,51.19047619,31.5,93.23809524,94.66666667
18,54.61904762,33.88888889,100.0952381,98.66666667
19,57.42857143,34.27777778,106.0952381,107.3333333
20,62,34.83333333,109.9047619,113.3333333
21,65.69047619,36.05555556,117.4285714,117.7777778
22,68.33333333,37.61111111,124,121.1111111
23,71.38095238,37.94444444,133.047619,129.1111111
24,75,39.16666667,136.952381,133.1111111
25,79.52380952,40.16666667,141.4285714,135.7777778
26,83.38095238,42.44444444,147.7142857,142
27,86.30952381,46.72222222,155.3333333,144.4444444
28,89.57142857,47.88888889,163.4285714,153.3333333
29,92.69047619,50.5,170.0952381,157.7777778
30,95.73809524,53.72222222,174.2857143,162.4444444
31,98.45238095,56.38888889,180.0952381,179.7777778
32,101.7380952,59.88888889,187.4285714,183.3333333
33,104.0238095,60.94444444,194.7619048,190.2222222
34,107.9761905,62,201.5238095,200.8888889
35,111.2380952,64.11111111,206.4761905,207.1111111
36,114.7619048,65.77777778,212,214.2222222
37,117.1428571,67.33333333,218,217.3333333
38,119.6428571,69.27777778,225.5238095,222.6666667
39,122.6666667,72,230.952381,234.6666667
40,125.9285714,74.44444444,236.5714286,239.7777778
41,128.452381,77.38888889,242.5714286,247.1111111
42,131.8095238,78.44444444,247.4285714,254
43,135.2142857,80.72222222,254.5714286,259.1111111
44,137.2380952,82.44444444,261.7142857,266.8888889
45,140.2857143,84.11111111,269.5238095,274.2222222
46,143.2380952,85.61111111,275.3333333,281.1111111
47,146.9047619,87.11111111,281.3333333,284.4444444
48,150.9047619,89.05555556,284.2857143,293.3333333
49,154.0952381,90.16666667,291.6190476,296.2222222
50,158.1190476,91.55555556,297.4285714,300.2222222
51,161.2857143,94.5,302.0952381,308.6666667
52,164.7619048,96.22222222,308.2857143,320.2222222
