x,ramdpm tag1,Random tag0
0,0,0
1,0,0.4
2,0.4,1.4
3,0.6,2.8
4,2.6,4.8
5,4.2,8.8
6,6.8,9.2
7,9.2,11.2
8,12,14.6
9,15.4,17.2
10,17.6,20.8
11,21,24
12,22.4,27.8
13,26,31.2
14,32.8,36.4
15,37.6,39.8
16,44.4,44.8
17,51.6,49.8
18,55,51.4
19,62,55.8
20,71.8,62
21,79.6,65
22,89.4,70.8
23,97,76.8
24,104.8,81.4
25,114.2,84.2
26,126.4,88.4
27,132.4,92.4
28,141.4,95.8
29,153.6,102.2
30,165.8,103.6
31,174.6,109
32,182.2,119.2
33,183.6,122.4
34,199.8,128.6
35,210,133.4
36,220.4,138.6
37,224.4,143.2
38,240.6,148
39,244.6,155.2
40,252.4,161.6
41,261.6,163.8
42,278,169.4
43,285.8,172.8
44,294.6,182
45,312.6,187.8
46,320.8,194.4
47,327,199
48,331.6,206.6
49,338.8,215.4
50,355.4,217.6
51,364.8,222.2
52,370.6,232
53,375,237.4
54,388.8,241.6
55,407,247.8
56,417.2,261
57,423.8,266.6
58,434.6,274.8
59,444.2,279
60,453,284.4
61,464.6,288.6
62,466.4,293.8
63,479.4,302.2
64,485.6,309
65,499.2,313.8
66,508.8,318
67,519.8,325.2
68,533.2,331.8
69,544.4,336.8
70,552.2,340.6
71,574,349
72,580.2,356.2
73,593.6,359.4
74,601.8,364
75,612.6,368.4
76,620.4,375
77,632.4,378.6
78,632.4,378.6
79,644,382.2
