x,tag 1,tag 0
0,7.271428571,-2.5
1,11.11428571,-0.866666667
2,16.02857143,-1.866666667
3,22.1,-3.166666667
4,28.15714286,-5.233333333
5,34.2,-6.6
6,41.42857143,-8.333333333
7,47.15714286,-11.1
8,55.1,-12.1
9,62.88571429,-13.8
10,70.15714286,-15.63333333
11,76.45714286,-18
12,83.28571429,-20
13,90.74285714,-21.46666667
14,98.01428571,-23.3
15,104.8428571,-25.83333333
16,111.6857143,-28.53333333
17,118.1857143,-30.83333333
18,124.8857143,-32.8
19,132.2428571,-34.03333333
20,138.2,-37.06666667
21,143.9285714,-38.1
22,148.0571429,-39.26666667
23,152.1142857,-41.73333333
24,157.1714286,-42.93333333
25,163.0857143,-43.86666667
26,168.6142857,-44.03333333
27,171.7571429,-42.9
28,173.8142857,-40.43333333
29,175.0857143,-37.2
30,179.0285714,-36.2
31,183.7,-34.5
32,185.3285714,-31.56666667
33,188.4714286,-28.3
34,192.0142857,-26.36666667
35,195.5571429,-26.43333333
36,199.2857143,-24.8
37,203.6714286,-24.43333333
38,208.2285714,-25
39,212.8428571,-25.16666667
40,215.6714286,-25.83333333
41,217.3857143,-24.03333333
42,219.6571429,-21.26666667
43,222.5571429,-18.63333333
44,224.8714286,-11.03333333
45,226.4714286,-7.1
46,229.7857143,-3.833333333
47,231.2857143,-1.933333333
48,235.5285714,-0.7
49,238.5428571,0.733333333
50,241.5,4.033333333
51,244.6428571,5.166666667
52,246.9428571,8.933333333
53,249.4571429,10.86666667
54,249.7142857,17.66666667
55,248.7,23.83333333
56,248.7142857,31.06666667
57,248.9,36.56666667
58,248.8,42.73333333
59,246.9428571,49.66666667
60,244.4857143,56
61,242.5,63.36666667
62,239.9285714,70.36666667
63,237.4142857,76.36666667
64,235.5142857,83.96666667
65,233.9571429,92.53333333
66,232.4285714,102.1333333
67,230.2571429,108
68,228.1,116.5
69,226.2142857,125.5
70,226.2142857,125.5
71,224.1428571,132
72,222.1428571,139.5
73,219.9285714,145.5
74,217.7142857,153
75,215.7142857,159.5
76,213.5,165
77,212.2142857,171.5
78,210.2142857,174
79,208.5,176
80,206.7857143,178.5
81,206.7857143,178.5
82,205.3571429,182.5
83,205.3571429,182.5
84,203.5,188
85,203.5,188
86,203.5,188
87,203.5,188
88,203.5,188
89,203.5,188
90,201.8571429,192.5
91,201.8571429,192.5
92,200.6428571,197
93,200.6428571,197
