x,Consumer (Major taste),Consumer (Minor taste),Producer ( Major taste),Producer (Minor taste)
0,1.5,3.5,0,0
1,7.642857143,1.722222222,4.285714286,0
2,13.92857143,-0.666666667,5.904761905,0
3,20.30952381,-1.611111111,14.76190476,0.222222222
4,24.38095238,-4.388888889,21.42857143,0.666666667
5,28.92857143,-4.555555556,35.04761905,1.777777778
6,34.54761905,-4.555555556,42.76190476,5.111111111
7,41.35714286,-6.833333333,48.76190476,9.333333333
8,47.78571429,-8.444444444,53.14285714,10.66666667
9,54,-11.11111111,72.76190476,11.33333333
10,58.69047619,-12.77777778,89.9047619,15.11111111
11,66.0952381,-15.38888889,97.71428571,17.11111111
12,72.78571429,-17.11111111,113.4285714,18.44444444
13,77.71428571,-15.11111111,124.2857143,23.33333333
14,85.78571429,-13.83333333,135.3333333,29.11111111
15,89.30952381,-13.44444444,150,30.44444444
16,93.19047619,-13.61111111,153.8095238,33.11111111
17,96.64285714,-9.944444444,159.4285714,49.55555556
18,100.2857143,-7.333333333,167.6190476,56.22222222
19,102.7380952,-7.055555556,182.0952381,61.11111111
20,107.0238095,-4.666666667,189.4285714,66.88888889
21,112.547619,-5.555555556,194.952381,71.11111111
22,117.9285714,-3.333333333,203.7142857,79.55555556
23,122.047619,-1.611111111,213.5238095,83.55555556
24,127.5714286,-0.777777778,219.5238095,89.11111111
25,133.3095238,-4.722222222,224.0952381,90.22222222
26,137.7857143,-4.722222222,231.3333333,94.44444444
27,143.3333333,-6,241.7142857,97.11111111
28,151.5,-7.055555556,251.6190476,98.44444444
29,157.8333333,-8.388888889,265.047619,102
30,164.4047619,-9.888888889,270.5714286,102.8888889
31,168.6904762,-8.555555556,289.1428571,107.5555556
32,171.2619048,-4.277777778,295.5238095,110.2222222
33,176.1428571,1.388888889,301.047619,113.5555556
34,180.1904762,5.055555556,305.7142857,117.3333333
35,182.7380952,10,319.3333333,120.8888889
36,185.1666667,19.38888889,323.6190476,128.6666667
37,184.8809524,25.22222222,326.5714286,131.3333333
38,183.2380952,31.88888889,330.2857143,145.7777778
39,181.7619048,38.55555556,331.2380952,157.1111111
40,180.4285714,46.88888889,332.6666667,162.6666667
41,179.5238095,57.16666667,333.6190476,178.2222222
42,176.7619048,62.66666667,335.2380952,184.6666667
43,175.5952381,67.16666667,335.9047619,201.3333333
44,174.2380952,73.55555556,336.952381,208.2222222
45,173.2380952,78.33333333,338,213.1111111
46,172.1190476,82.27777778,338.8571429,228.6666667
47,172.6428571,86.5,339.1428571,242
48,174.6904762,88.44444444,341.1428571,245.7777778
49,176.4761905,94.38888889,341.5238095,252.8888889
50,178.7380952,99,344.1904762,260.6666667
51,180.6190476,106.3333333,354.5714286,265.5555556
52,183.7142857,113.6666667,358.1904762,270
53,183.952381,117.6666667,365.2380952,285.5555556
54,185.5,122.0555556,371.6190476,289.7777778
55,185.5238095,127.3333333,376.4761905,303.1111111
56,186.0952381,131.5,381.8095238,312
57,185.9761905,135.6111111,384,315.1111111
58,187.7380952,140,387.8095238,330
59,186.6190476,144.4444444,391.3333333,342.4444444
60,186.452381,147.7777778,395.9047619,350.6666667
61,187.2619048,149.5,397.9047619,358
62,189.3333333,151.4444444,401.4285714,364.4444444
63,193,151.6111111,407.9047619,373.1111111
64,197.452381,152.5555556,412.3809524,381.3333333
65,201.1904762,151.4444444,419.3333333,384.2222222
66,204.1666667,152.9444444,425.2380952,395.3333333
67,210.5952381,152.9444444,428.6666667,402
68,215.1666667,151.7222222,431.7142857,405.7777778
69,217.9761905,151.7777778,436.1904762,413.5555556
70,222.5714286,151.3333333,437.7142857,414.6666667
71,227.6666667,149.3333333,444.4761905,418.6666667
72,232.2380952,148.5,454.7619048,424.8888889
73,236.3095238,149.3888889,464.7619048,428
74,243.3333333,150.1111111,474.7619048,430.2222222
75,248.6428571,149.7777778,482.6666667,438
76,253.5238095,151.7222222,489.047619,441.7777778
77,259.8571429,150.5555556,498.0952381,450.4444444
78,265.3809524,150.7222222,506.952381,454.2222222
79,269.8095238,151.8333333,516.3809524,458.6666667
80,273.2619048,149.8333333,525.7142857,462.2222222
81,278.047619,152.6111111,537.3333333,464.6666667
82,283.0952381,155.7777778,544.4761905,474.4444444
83,286.2142857,157.2777778,547.047619,480.4444444
84,290.4285714,163.3333333,555.8095238,481.5555556
85,293.8571429,169.2222222,562.3809524,485.7777778
86,297.6428571,170.8333333,563.6190476,500.6666667
87,300,174.1666667,565.4285714,516
88,301.7619048,175.5555556,569.4285714,518.4444444
89,302.9047619,177.6666667,582.3809524,524.4444444
90,306.5714286,180,590.952381,532.8888889
91,311.0952381,178.6666667,595.1428571,534.8888889
92,316.7619048,177.4444444,610.7619048,536.8888889
93,321.3809524,178.8333333,615.7142857,542.2222222
94,328.1428571,177.2777778,625.7142857,544.8888889
95,333.4285714,175.5,641.1428571,545.1111111
96,340.1428571,174.5,648.0952381,546.4444444
97,347.3571429,173.0555556,652.952381,548.2222222
98,352.9047619,170.7222222,665.9047619,549.3333333
99,357.5952381,174.8333333,670.3809524,551.5555556
100,361.1190476,180.5555556,682,555.5555556
