"export-plot data (NetLogo 5.3.1)"
"helper-functions.nls.nlogo"
"07/08/2016 17:19:09:437 -0400"

"MODEL SETTINGS"
"random-seed?","the-random-seed"
"false","50"

"""Total Utility"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","108","0","212","true","""total""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""total""","true","0","1","15","95"

"""total"""
"x","y","color","pen down?"
"0","2.42","15","true"
"1","4.68","15","true"
"2","7.02","15","true"
"3","9.28","15","true"
"4","11.62","15","true"
"5","14.16","15","true"
"6","16.62","15","true"
"7","18.92","15","true"
"8","21.26","15","true"
"9","23.44","15","true"
"10","26.18","15","true"
"11","28.48","15","true"
"12","31.54","15","true"
"13","33.64","15","true"
"14","35.38","15","true"
"15","37.6","15","true"
"16","39.1","15","true"
"17","41.68","15","true"
"18","44.18","15","true"
"19","46.04","15","true"
"20","47.82","15","true"
"21","50.6","15","true"
"22","53.7","15","true"
"23","56.76","15","true"
"24","58.22","15","true"
"25","61.28","15","true"
"26","63.9","15","true"
"27","66.32","15","true"
"28","68.66","15","true"
"29","71.4","15","true"
"30","73.02","15","true"
"31","75.24","15","true"
"32","78.06","15","true"
"33","81.12","15","true"
"34","83.5","15","true"
"35","86.12","15","true"
"36","88.82","15","true"
"37","91.44","15","true"
"38","94.02","15","true"
"39","96.2","15","true"
"40","98.26","15","true"
"41","100","15","true"
"42","102.74","15","true"
"43","104.72","15","true"
"44","107.58","15","true"
"45","109.8","15","true"
"46","112.26","15","true"
"47","115.16","15","true"
"48","117.58","15","true"
"49","119.16","15","true"
"50","121.22","15","true"
"51","123.44","15","true"
"52","125.26","15","true"
"53","128.04","15","true"
"54","130.58","15","true"
"55","133.48","15","true"
"56","136.34","15","true"
"57","139.24","15","true"
"58","142.38","15","true"
"59","144.08","15","true"
"60","147.54","15","true"
"61","150.18","15","true"
"62","152.36","15","true"
"63","154.79","15","true"
"64","158.73","15","true"
"65","161.04","15","true"
"66","164.08","15","true"
"67","166.82","15","true"
"68","168.91","15","true"
"69","170.78","15","true"
"70","173.44","15","true"
"71","175.73","15","true"
"72","177.08","15","true"
"73","179.38","15","true"
"74","180.91","15","true"
"75","180.91","15","true"
"76","183.16","15","true"
"77","184.98","15","true"
"78","185.85","15","true"
"79","186.13","15","true"
"80","187.04","15","true"
"81","187.04","15","true"
"82","188.14","15","true"
"83","189.16","15","true"
"84","191","15","true"
"85","191","15","true"
"86","191","15","true"
"87","191","15","true"
"88","191.42","15","true"
"89","193.1","15","true"
"90","195.2","15","true"
"91","196.7","15","true"
"92","198.35","15","true"
"93","198.35","15","true"
"94","198.35","15","true"
"95","200","15","true"
