x,doc-pop tag1,doc-pop tag0
0,0,0
1,0,0
2,0,0.2
3,0,4.2
4,0.6,7.4
5,0.6,8
6,0.8,13.2
7,1,16.2
8,1.6,22.6
9,2.6,30.2
10,4.2,30.4
11,12.8,41.8
12,16.8,52.6
13,29,60
14,41.3,63.8
15,50.7,65.7
16,62.7,74.5
17,82.7,99.4
18,87.3,108.9
19,107.3,118.9
20,126,137.5
21,132.8,148.1
22,149.8,164.5
23,156,189.5
24,171.4,200.9
25,178.8,221.9
26,196.3,233.7
27,208.5,254.5
28,213.1,269.9
29,228.5,281
30,241.7,321.2
31,257.5,336.4
32,271.3,361.8
33,283.1,372.4
34,296.3,397
35,308.5,419
36,324.8,435.9
37,332.8,458.5
38,348.3,473.7
39,367.8,490.5
40,378.1,514.5
41,402.9,528.5
42,414.8,546.2
43,416.4,579.6
44,423.8,600.8
45,445.8,624.2
46,458.2,649.2
47,465,678.2
48,472.8,692.5
49,483,718.3
50,489.1,736.1
51,514.7,785.1
52,529.4,817.1
53,542.4,836
54,573.5,845.6
55,587.7,873
56,599.4,902.2
57,631,917.2
58,654.4,932.2
59,669.8,941.4
60,698.2,963.4
61,724.4,973.1
62,741.9,980.9
63,787.5,1001.6
64,807.6,1003.8
65,828.8,1039
66,840.8,1057.6
67,861.8,1070.6
68,884.3,1102.5
69,908.3,1118.5
70,918.5,1135.5
71,927.5,1173.9
72,956,1204.6
73,970.6,1230.6
74,983.1,1259.8
75,998.5,1298.5
76,1007.7,1317.9
77,1019.9,1354.9
78,1027.5,1383.4
