x,doc-pop tag1,doc-pop tag0
0,0,0
1,0,0.4
2,0,0.6
3,6,0.6
4,9.4,0.6
5,14.2,0.6
6,21.2,0.6
7,24.2,1
8,29.8,2.2
9,40.8,2.4
10,66,3.2
11,100.8,3.8
12,119.8,4
13,135.8,4.4
14,147.9,4.8
15,162.2,4.8
16,186,5.6
17,196.8,6.4
18,210.8,12.8
19,228.8,16.8
20,235.1,21.4
21,240.9,26
22,261.5,30.8
23,276.6,35.2
24,285.7,47.7
25,297.9,58.3
26,304.9,64.9
27,336.9,70.7
28,364.5,75.7
29,367.5,79.7
30,391.1,85.7
31,441.1,92.1
32,460.3,101.1
33,494.6,102.9
34,540,106.2
35,560.2,113.8
36,593.6,119.1
37,636.9,126.5
38,646.7,134.1
39,654.1,143.5
40,668.5,151.7
41,694.1,167.5
42,743.5,179.8
43,758.3,191.2
44,784.9,218.2
45,789.5,226.3
46,819.4,232.5
47,858.4,246.5
48,879.6,258.7
49,907.9,266.6
50,942.1,273.8
51,950.7,283.1
52,973.4,299.7
53,994.7,310.4
54,1018.9,318.8
55,1034.6,321.6
56,1072,326
57,1117.8,334.9
58,1131.4,340.3
59,1167.1,346.3
60,1184.8,355.4
61,1234,361
62,1277.9,363.8
63,1309.3,364.6
64,1331.4,367
65,1365,370.4
66,1399.4,374.9
67,1441.1,379.9
68,1485.2,386.7
69,1522.6,393.7
70,1540.3,407.1
71,1573.9,411.4
72,1636.4,415
73,1667.1,423
74,1696.5,435
75,1726.3,440.6
76,1759.3,447.6
77,1801.5,455
78,1817.7,483
