x,Cosumer (Major tag),Consumer (Minor tag),Producer (Major tag),(Producer Minor tag)
0,2.833333333,2.166666667,0,0
1,5.738095238,6.222222222,1.238095238,0.666666667
2,9.761904762,12.44444444,3.714285714,1.111111111
3,15.21428571,20.11111111,7.238095238,2.666666667
4,19.0952381,26.55555556,9.619047619,5.111111111
5,26.92857143,31.05555556,13.14285714,5.777777778
6,34.28571429,39.16666667,16,6.666666667
7,43.21428571,45,22.28571429,6.888888889
8,50.35714286,55,26.57142857,7.555555556
9,57.5,60.83333333,29.04761905,7.777777778
10,68.57142857,66.66666667,33.61904762,7.777777778
11,75.71428571,71.66666667,38.38095238,8
12,82.5,80,42.95238095,8.666666667
13,88.57142857,86.66666667,46.95238095,10.22222222
14,97.5,92.27777778,51.71428571,10.22222222
15,102.8571429,100.3333333,55.14285714,10.66666667
16,111.7857143,105.0555556,59.42857143,10.66666667
17,118.5714286,112.6111111,64.85714286,13.33333333
18,127.0952381,117.6111111,68.47619048,14.44444444
19,134.952381,125.1666667,72.85714286,18
20,142.3095238,130.8888889,78.47619048,20
21,149.3333333,135.2222222,85.9047619,25.11111111
22,156.8809524,138.5,91.71428571,26.22222222
23,161.1190476,144.3888889,105.4285714,30.66666667
24,166.2619048,150.7777778,113.2380952,33.33333333
25,173.3571429,157.3333333,122.6666667,39.33333333
26,179.2380952,163.8333333,135.6190476,40
27,187.1428571,168.6111111,145.1428571,44.22222222
28,194.5238095,176.0555556,152.2857143,47.11111111
29,199.3809524,184.8333333,162.0952381,51.77777778
30,207.2857143,188.1666667,170.952381,57.11111111
31,214.6666667,197,176.7619048,63.11111111
32,222.3571429,200.7222222,182,65.55555556
33,229.0714286,204.2777778,192.3809524,67.55555556
34,236.4047619,209.3888889,206.1904762,71.33333333
35,241.8809524,213.2777778,216.2857143,72.66666667
36,248.452381,220.3888889,228,76.44444444
37,253.4285714,228.5555556,231.8095238,80.66666667
38,258.6190476,234.2222222,244.5714286,85.11111111
39,266.5952381,236.6111111,253.8095238,87.11111111
40,272.452381,242.1666667,262.6666667,92.22222222
41,280.047619,245.6111111,270,93.77777778
42,284.8095238,249.3333333,290.6666667,95.77777778
43,292.6428571,253.4444444,298.4761905,97.33333333
44,297.3571429,259.8888889,312.3809524,99.55555556
45,303.7142857,263.4444444,322.4761905,102.8888889
46,310.0952381,268.7777778,331.9047619,106
47,317.1904762,274.6111111,347.7142857,109.1111111
48,322.6190476,279.7222222,359.4285714,111.3333333
49,328.0238095,283.7777778,371.8095238,115.7777778
50,333.047619,287.6666667,389.7142857,116.6666667
51,340.0714286,291.5,399.5238095,119.7777778
52,345.5714286,293.9444444,417.7142857,120.4444444
53,352.2142857,296.0555556,435.5238095,122.6666667
54,356.2857143,298.6111111,451.4285714,127.1111111
55,365.3571429,298.1666667,457.5238095,130.6666667
56,371.8095238,299.6666667,477.6190476,133.7777778
57,377.1666667,301.8888889,494.6666667,136
58,381.7857143,304.5,500.3809524,137.7777778
59,387.4285714,308.1111111,511.3333333,143.7777778
60,393.1666667,311.2222222,522.952381,148.4444444
61,400.7619048,312.1666667,536.3809524,152.8888889
62,405.8095238,309.7222222,541.7142857,154.4444444
63,410.547619,309.8888889,550.6666667,157.3333333
64,415.9761905,309.7222222,556.0952381,164.6666667
65,422.8809524,312.7222222,562.1904762,168.8888889
66,427.5714286,314.6111111,583.5238095,169.5555556
67,433.952381,315,587.9047619,178.8888889
68,440.0714286,316.2777778,595.6190476,180
69,445.6428571,316.7222222,613.3333333,180
