x,peer-pop strategy (Major taste),peer-pop strategy (Minor taste)
0,6.642857143,-2.1
1,13.02857143,-3.333333333
2,19.04285714,-6.1
3,25.51428571,-8.333333333
4,31.74285714,-9.066666667
5,38.74285714,-10.93333333
6,45.28571429,-10.66666667
7,51.11428571,-13.13333333
8,56.24285714,-14.5
9,59.35714286,-13.3
10,60.78571429,-8.566666667
11,62.32857143,-4.633333333
12,61.6,2.333333333
13,62.45714286,9.733333333
14,66.02857143,11.2
15,70.3,11.3
16,73.91428571,11.06666667
17,80.37142857,10.2
18,83.88571429,9.933333333
19,86.62857143,9.466666667
20,90.58571429,9.633333333
21,91.75714286,15.9
22,93.84285714,17.63333333
23,98.3,17.83333333
24,103.4714286,17.43333333
25,109.1142857,15.13333333
26,115.0857143,12.46666667
27,119.6142857,9.7
28,123.9714286,12.4
29,125.8571429,18.33333333
30,127.6857143,23.73333333
31,131.4714286,25.23333333
32,131.1142857,30.4
33,130.3571429,37.16666667
34,130.7571429,43.36666667
35,131.0285714,46.93333333
36,130.1571429,53.7
37,127.7285714,61.7
38,125.7571429,70.1
39,123.7142857,79.2
40,121,84.66666667
41,118.7142857,90.2
42,119.1428571,97
43,123.8857143,97.6
44,127.4285714,99.53333333
45,134.2285714,97.46666667
46,140.2428571,97.5
47,145.6571429,97.06666667
48,149.4714286,97.43333333
49,153.7571429,97.63333333
50,159.8571429,97.6
51,164.9285714,96.36666667
52,170.4571429,95.26666667
53,174.7428571,93.86666667
54,177.6857143,95.73333333
55,178.4571429,98.8
56,183.3285714,98.43333333
57,190.7714286,97.4
58,196.7,95.23333333
59,202.7428571,93.2
60,208.1,92.23333333
61,213.3571429,91.1
62,213.3571429,91.1
63,218.3571429,89.9
64,220.8142857,90.63333333
65,226.3142857,91.2
66,227.8,95.53333333
67,227.0142857,99.03333333
68,226.1,102.7
69,226.1,102.7
70,225.3857143,110.0333333
71,225.3857143,110.0333333
72,223,117.5333333
73,221.2142857,129.5
74,221.2142857,129.5
75,219.3571429,135.5
76,216.9285714,143.5
77,214.6428571,152.5
78,212.4285714,162
79,212.4285714,162
80,210.0714286,170.5
81,210.0714286,170.5
82,207.8571429,180
83,205.8571429,191
84,205.8571429,191
85,202.7857143,194.5
86,202.7857143,194.5
