x,y,color,pen down?
0,2.5,15,TRUE
1,4.52,15,TRUE
2,7.14,15,TRUE
3,8.44,15,TRUE
4,10.86,15,TRUE
5,13.88,15,TRUE
6,17.46,15,TRUE
7,19.52,15,TRUE
8,23.14,15,TRUE
9,25.96,15,TRUE
10,28.54,15,TRUE
11,31.08,15,TRUE
12,32.78,15,TRUE
13,35.12,15,TRUE
14,37.1,15,TRUE
15,39.92,15,TRUE
16,42.62,15,TRUE
17,44.92,15,TRUE
18,48.1,15,TRUE
19,51.6,15,TRUE
20,53.1,15,TRUE
21,55.32,15,TRUE
22,57.78,15,TRUE
23,60.76,15,TRUE
24,63.78,15,TRUE
25,65.28,15,TRUE
26,67.3,15,TRUE
27,70.24,15,TRUE
28,72.14,15,TRUE
29,73.8,15,TRUE
30,76.78,15,TRUE
31,79.56,15,TRUE
32,81.34,15,TRUE
33,83.72,15,TRUE
34,86.02,15,TRUE
35,88.76,15,TRUE
36,91.3,15,TRUE
37,93.92,15,TRUE
38,96.66,15,TRUE
39,98.44,15,TRUE
40,100.22,15,TRUE
41,102.76,15,TRUE
42,104.7,15,TRUE
43,106.44,15,TRUE
44,108.26,15,TRUE
45,110.08,15,TRUE
46,111.58,15,TRUE
47,114.76,15,TRUE
48,117.3,15,TRUE
49,119.72,15,TRUE
50,122.74,15,TRUE
51,125.2,15,TRUE
52,129.18,15,TRUE
53,131.92,15,TRUE
54,134.86,15,TRUE
55,136.84,15,TRUE
56,139.3,15,TRUE
57,141.92,15,TRUE
58,144.86,15,TRUE
59,147.16,15,TRUE
60,149.34,15,TRUE
61,152.48,15,TRUE
62,155.3,15,TRUE
63,158,15,TRUE
64,159.94,15,TRUE
65,162.24,15,TRUE
66,164.3,15,TRUE
67,166.64,15,TRUE
68,169.62,15,TRUE
69,172.56,15,TRUE
70,175.42,15,TRUE
71,177.92,15,TRUE
72,180.58,15,TRUE
73,180.58,15,TRUE
74,183.88,15,TRUE
75,187.02,15,TRUE
76,187.02,15,TRUE
77,189.88,15,TRUE
78,192.38,15,TRUE
79,195.16,15,TRUE
80,195.16,15,TRUE
81,195.16,15,TRUE
82,195.16,15,TRUE
83,195.16,15,TRUE
84,195.16,15,TRUE
85,195.16,15,TRUE
86,195.16,15,TRUE
87,195.16,15,TRUE
88,195.16,15,TRUE
89,195.16,15,TRUE
90,197.5,15,TRUE
91,197.5,15,TRUE
92,197.5,15,TRUE
93,197.5,15,TRUE
94,197.5,15,TRUE
95,197.5,15,TRUE
96,197.5,15,TRUE
97,197.5,15,TRUE
98,197.5,15,TRUE
99,197.5,15,TRUE
100,197.5,15,TRUE
