"export-plot data (NetLogo 5.3.1)"
"helper-functions.nls.nlogo"
"07/10/2016 17:39:38:985 -0400"

"MODEL SETTINGS"
"the-random-seed","random-seed?"
"50","false"

"""Total Utility"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","108","0","208","true","""total""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""total""","true","0","1","15","90"

"""total"""
"x","y","color","pen down?"
"0","1.94","15","true"
"1","4.24","15","true"
"2","5.46","15","true"
"3","7.36","15","true"
"4","9.66","15","true"
"5","11.36","15","true"
"6","14.9","15","true"
"7","16.44","15","true"
"8","19.98","15","true"
"9","22.16","15","true"
"10","23.86","15","true"
"11","26","15","true"
"12","28.46","15","true"
"13","31.08","15","true"
"14","34.14","15","true"
"15","36.68","15","true"
"16","40.14","15","true"
"17","42.92","15","true"
"18","45.42","15","true"
"19","46.92","15","true"
"20","49.26","15","true"
"21","50.84","15","true"
"22","53.54","15","true"
"23","56.64","15","true"
"24","58.9","15","true"
"25","62.28","15","true"
"26","64.74","15","true"
"27","67.04","15","true"
"28","69.42","15","true"
"29","71.88","15","true"
"30","73.94","15","true"
"31","76.56","15","true"
"32","78.7","15","true"
"33","81.16","15","true"
"34","84.18","15","true"
"35","86.72","15","true"
"36","88.74","15","true"
"37","91.2","15","true"
"38","93.34","15","true"
"39","95.92","15","true"
"40","98.7","15","true"
"41","101.12","15","true"
"42","103.3","15","true"
"43","105.84","15","true"
"44","107.22","15","true"
"45","109.84","15","true"
"46","111.7","15","true"
"47","114.72","15","true"
"48","116.98","15","true"
"49","119.56","15","true"
"50","122.74","15","true"
"51","125","15","true"
"52","128.14","15","true"
"53","131.28","15","true"
"54","134.46","15","true"
"55","136.8","15","true"
"56","139.02","15","true"
"57","140.92","15","true"
"58","143.54","15","true"
"59","146.48","15","true"
"60","148.26","15","true"
"61","151.28","15","true"
"62","151.28","15","true"
"63","154.62","15","true"
"64","156.72","15","true"
"65","159.34","15","true"
"66","159.34","15","true"
"67","162.2","15","true"
"68","165.38","15","true"
"69","168.32","15","true"
"70","170.06","15","true"
"71","172.76","15","true"
"72","175.3","15","true"
"73","178.12","15","true"
"74","181.02","15","true"
"75","183.4","15","true"
"76","186.02","15","true"
"77","186.02","15","true"
"78","186.02","15","true"
"79","186.02","15","true"
"80","188.68","15","true"
"81","191.46","15","true"
"82","195.44","15","true"
"83","195.44","15","true"
"84","197.3","15","true"
"85","197.3","15","true"
"86","197.3","15","true"
"87","197.3","15","true"
"88","197.3","15","true"
"89","197.3","15","true"
"90","197.3","15","true"
