x,y,color,pen down?
0,2.38,15,TRUE
1,5.04,15,TRUE
2,8.06,15,TRUE
3,10.12,15,TRUE
4,11.62,15,TRUE
5,14.04,15,TRUE
6,17.34,15,TRUE
7,19.68,15,TRUE
8,22.78,15,TRUE
9,25.8,15,TRUE
10,27.94,15,TRUE
11,30.96,15,TRUE
12,33.74,15,TRUE
13,34.4,15,TRUE
14,36.74,15,TRUE
15,38.76,15,TRUE
16,42.22,15,TRUE
17,44.92,15,TRUE
18,47.58,15,TRUE
19,49.64,15,TRUE
20,51.34,15,TRUE
21,53.96,15,TRUE
22,56.58,15,TRUE
23,59.64,15,TRUE
24,61.94,15,TRUE
25,63.8,15,TRUE
26,65.46,15,TRUE
27,67.2,15,TRUE
28,69.38,15,TRUE
29,71.64,15,TRUE
30,74.38,15,TRUE
31,76.96,15,TRUE
32,78.82,15,TRUE
33,81.48,15,TRUE
34,84.1,15,TRUE
35,86.04,15,TRUE
36,88.46,15,TRUE
37,90.64,15,TRUE
38,93.34,15,TRUE
39,95.64,15,TRUE
40,97.86,15,TRUE
41,100.48,15,TRUE
42,103.54,15,TRUE
43,106.56,15,TRUE
44,109.1,15,TRUE
45,111.6,15,TRUE
46,114.46,15,TRUE
47,116.6,15,TRUE
48,118.9,15,TRUE
49,121.4,15,TRUE
50,124.34,15,TRUE
51,127,15,TRUE
52,129.54,15,TRUE
53,132.64,15,TRUE
54,135.86,15,TRUE
55,138.28,15,TRUE
56,140.82,15,TRUE
57,143.48,15,TRUE
58,146.22,15,TRUE
59,148.56,15,TRUE
60,150.54,15,TRUE
61,152.92,15,TRUE
62,155.42,15,TRUE
63,158.2,15,TRUE
64,160.66,15,TRUE
65,163,15,TRUE
66,166.26,15,TRUE
67,168.56,15,TRUE
68,171.46,15,TRUE
69,173.72,15,TRUE
70,176.54,15,TRUE
71,179.64,15,TRUE
72,182.62,15,TRUE
73,185.16,15,TRUE
74,187.66,15,TRUE
75,190.48,15,TRUE
76,192.98,15,TRUE
77,195.32,15,TRUE
78,195.32,15,TRUE
79,195.32,15,TRUE
80,195.32,15,TRUE
81,195.32,15,TRUE
82,198.06,15,TRUE
83,198.06,15,TRUE
