x,Consumer (Major taste),Consumer (Minor taste),Producer ( Major taste),(Producer Minor taste)
0,7.30952381,-1.611111111,0,0
1,15.54761905,-3.333333333,0.761904762,0.444444444
2,22.73809524,-4.444444444,4.666666667,0.666666667
3,28.07142857,-7.222222222,6.476190476,0.888888889
4,34.66666667,-10.27777778,10.95238095,1.333333333
5,40.33333333,-13.33333333,20,1.555555556
6,48.35714286,-15.27777778,24.0952381,1.777777778
7,53,-16.66666667,29.04761905,2.444444444
8,59.30952381,-18.33333333,41.9047619,2.666666667
9,65.38095238,-21.66666667,45.33333333,2.888888889
10,72.88095238,-25.27777778,51.14285714,3.111111111
11,79.57142857,-28.05555556,60.28571429,3.333333333
12,86.95238095,-28.88888889,74.28571429,3.333333333
13,93.28571429,-31.11111111,90,3.777777778
14,99.71428571,-33.61111111,98.38095238,4
15,106.9047619,-35.83333333,108.3809524,4
16,112.4285714,-38.88888889,127.3333333,4
17,118.8571429,-42.22222222,131.1428571,4.444444444
18,124.2142857,-45.83333333,145.3333333,4.666666667
19,132.4285714,-47.55555556,155.3333333,4.888888889
20,139.8095238,-48.66666667,169.7142857,5.555555556
21,147.6904762,-50.05555556,176,5.555555556
22,154.2380952,-50.83333333,188.0952381,7.333333333
23,158.7619048,-52.38888889,197.047619,9.777777778
24,165.047619,-53.5,210.0952381,10.44444444
25,170.4047619,-52.38888889,217.7142857,13.77777778
26,175.047619,-51.72222222,230.6666667,16
27,180.547619,-51.27777778,238.8571429,21.33333333
28,185.8571429,-47.38888889,245.2380952,25.11111111
29,189.8571429,-47.72222222,250.8571429,28.22222222
30,190.7857143,-47.05555556,259.3333333,42.88888889
31,194.7142857,-45.5,268,48
32,200.5238095,-45.11111111,271.047619,54.22222222
33,207.1666667,-47.38888889,282.5714286,57.33333333
34,214.1428571,-48,295.4285714,60.66666667
35,221.8571429,-50.77777778,300.1904762,61.11111111
36,229.2857143,-52.22222222,305.7142857,62.22222222
37,237.5,-53.88888889,313.047619,63.55555556
38,244.4761905,-56,319.7142857,64.66666667
39,249.3333333,-57.11111111,328.1904762,67.77777778
40,254.1904762,-56.33333333,336,69.33333333
41,260.2142857,-56.55555556,345.047619,70.22222222
42,265.8333333,-59.38888889,353.6190476,73.55555556
43,274.5952381,-58.72222222,362.1904762,75.33333333
44,280.3809524,-62.11111111,369.7142857,76
45,284.4761905,-61.5,376.8571429,77.77777778
46,288.8809524,-59.94444444,395.5238095,80.88888889
47,294.2142857,-59.94444444,403.9047619,84.22222222
48,298.3571429,-58.88888889,409.8095238,89.77777778
49,302.5952381,-59.44444444,421.5238095,93.55555556
50,306.7142857,-54.44444444,429.6190476,99.11111111
51,310.4285714,-44.83333333,439.9047619,105.3333333
52,313.4285714,-41.27777778,446.952381,110.4444444
53,315.4047619,-39.55555556,448.2857143,112.4444444
54,318.4285714,-33.55555556,457.8095238,123.7777778
55,320.3809524,-29.66666667,460.3809524,130.2222222
56,321.5952381,-28.61111111,466.952381,138
57,324.1190476,-22,470.2857143,140.8888889
58,322.9761905,-16.5,480.6666667,148.8888889
59,322.9285714,-11.77777778,483.2380952,167.1111111
60,322.1190476,-5,484.1904762,175.3333333
61,324.0238095,-3.777777778,490.6666667,187.3333333
62,331.0952381,-5.5,493.4285714,192.4444444
63,334.0238095,-6.666666667,507.8095238,196.2222222
64,338.8571429,-5.388888889,519.047619,200.4444444
65,341.3333333,-3.166666667,534.2857143,211.5555556
66,343.7619048,0.611111111,537.6190476,217.3333333
67,347.3333333,1.666666667,553.7142857,223.7777778
68,352.3571429,4.555555556,557.2380952,226.6666667
69,356.1904762,6.777777778,559.8095238,233.5555556
70,362.9047619,6.444444444,569.2380952,235.5555556
71,366.7142857,5.888888889,579.8095238,243.5555556
72,370.2142857,6.777777778,588.4761905,248.4444444
73,371.4285714,5.611111111,596.1904762,254.2222222
74,371.7857143,6.222222222,599.3333333,263.3333333
75,375.0714286,8.944444444,602.7619048,271.5555556
76,378.047619,10.22222222,608.0952381,281.5555556
77,381.7380952,8.833333333,623.6190476,287.3333333
78,382.7619048,11.16666667,632.7619048,292
79,388.3809524,11.27777778,641.1428571,297.5555556
80,390.5952381,16.55555556,647.3333333,300.8888889
81,390.5,23.05555556,651.4285714,308.6666667
82,390.9047619,30.72222222,654.8571429,320.2222222
83,388.9285714,40.72222222,661.7142857,324.6666667
84,387.1190476,48.11111111,662.952381,340.4444444
85,385.6904762,53.66666667,662.952381,349.5555556
86,384.3571429,60.88888889,663.2380952,367.7777778
87,382.3333333,68.77777778,668.8571429,376.2222222
88,379.4761905,76.27777778,668.952381,382.4444444
89,380.952381,80.83333333,669.1428571,394.8888889
90,381.4761905,85.5,674.0952381,412.6666667
91,384.3809524,86.5,678.2857143,417.1111111
92,385.7619048,90.72222222,679.4285714,429.3333333
93,385.2619048,97.22222222,684.5714286,442.4444444
94,387.6666667,99.61111111,686.5714286,451.3333333
95,389.8571429,102.3333333,690.6666667,459.1111111
96,392.547619,104.9444444,697.9047619,464.4444444
97,394.9761905,108,704.5714286,479.7777778
98,393.9047619,113.8333333,707.9047619,487.5555556
99,392.452381,122.1111111,709.3333333,497.5555556
100,390.3809524,130.2222222,713.1428571,506.4444444
101,387.5238095,137.7222222,713.4285714,523.3333333
102,385.2619048,143.5555556,713.5238095,532
103,382.2857143,150.2222222,713.5238095,550.4444444
104,379.4285714,157.7222222,713.5238095,560.6666667
105,379.4285714,157.7222222,713.5238095,560.6666667
106,379.4285714,157.7222222,713.5238095,560.6666667
107,376.5714286,162.7222222,713.5238095,571.3333333
108,376.5714286,162.7222222,713.5238095,571.3333333
109,376.5714286,162.7222222,713.5238095,571.3333333
110,373.3571429,172.7222222,713.5238095,573.1111111
111,373.3571429,172.7222222,713.5238095,573.1111111
112,373.3571429,172.7222222,713.5238095,573.1111111
113,373.3571429,172.7222222,713.5238095,573.1111111
114,370.1428571,181.0555556,713.5238095,579.7777778
115,370.1428571,181.0555556,713.5238095,579.7777778
116,366.5714286,185.2222222,713.5238095,581.1111111
117,366.5714286,185.2222222,713.5238095,581.1111111
118,366.5714286,185.2222222,713.5238095,581.1111111
119,366.5714286,185.2222222,713.5238095,581.1111111
120,366.5714286,185.2222222,713.5238095,581.1111111
121,366.5714286,185.2222222,713.5238095,581.1111111
122,366.5714286,185.2222222,713.5238095,581.1111111
123,366.5714286,185.2222222,713.5238095,581.1111111
