x,peer-similarity (Major taste),Peer-similarity (Minor taste)
0,2.985714286,2.833333333
1,10.24285714,6.366666667
2,18.11428571,10.86666667
3,26.68571429,15.33333333
4,33.97142857,23.2
5,41.9,29.56666667
6,49.4,37.06666667
7,56.9,44.56666667
8,64.61428571,51.56666667
9,72.31428571,57
10,79.94285714,62.2
11,86.44285714,70.03333333
12,94.22857143,74.2
13,101.1857143,80.7
14,108.2142857,86.9
15,115.4,91.93333333
16,120.6,100.9333333
17,126.9,109.6333333
18,134.0571429,117
19,141.9428571,121.6
20,148.1285714,128.8333333
21,155.3142857,133.8666667
22,163.0714286,139.3
23,168.3,149.0333333
24,174.5142857,155.6666667
25,180.5428571,162.3333333
26,187.4142857,169.1666667
27,193.9428571,175.0666667
28,201.0857143,180.3333333
29,207.1857143,185.7666667
30,213.1285714,191.0333333
31,219.2285714,196.7333333
32,226.4857143,199.4666667
33,231.5,205.5666667
34,238.3,211.7666667
35,243.5714286,217.8
36,249.1,225.6333333
37,254.2857143,229.8666667
38,260.3142857,233.4666667
39,265.1714286,240.8666667
40,269.9857143,244.2333333
41,272.4142857,248.3666667
42,273.6142857,252.5666667
43,275.9571429,258.9
44,276.3428571,261.8
45,276.5285714,264.1
46,275.1428571,264.6
47,275.2,265.0666667
48,273.7,264.5
49,271.8857143,263.2
50,270.1,265.1666667
51,267.6428571,267.1
52,265.2428571,266.9
53,262.7428571,265.4666667
54,260.3857143,263.9666667
55,257.6,262.8
56,255.6,261.1333333
57,253,259.6666667
58,250.5714286,257
59,248.2857143,254
60,245.7857143,251.5
61,242.8571429,250
62,240.1428571,248
63,237.8571429,245
64,235.3571429,242.5
65,232.8571429,240
66,230,238.3333333
67,227.2142857,236.5
68,224.8571429,233.6666667
69,222.2142857,231.5
70,219.7142857,229
71,217.1428571,226.6666667
72,214.6428571,224.1666667
73,212.2857143,221.3333333
74,210.0714286,218.1666667
75,208.2857143,214
76,208.2857143,214
77,208.2857143,214
78,208.2857143,214
79,208.2857143,214
80,208.2857143,214
81,206.7142857,209.3333333
82,206.7142857,209.3333333
83,206.7142857,209.3333333
84,206.7142857,209.3333333
85,206.7142857,209.3333333
86,206.7142857,209.3333333
87,204.3571429,206.5
88,204.3571429,206.5
89,204.3571429,206.5
90,204.3571429,206.5
91,201.9285714,203.8333333
92,201.9285714,203.8333333
93,201.9285714,203.8333333
94,201.9285714,203.8333333
95,201.9285714,203.8333333
96,201.9285714,203.8333333
