x,Consumer (Major taste),Consumer (Minor taste),Producer (Major taste),Producer (Minor taste)
0,3.30952381,1.722222222,0,0
1,7.928571429,7,0.952380952,0.888888889
2,15.42857143,13.16666667,2.666666667,2.666666667
3,22.47619048,23.22222222,4.19047619,3.333333333
4,31.04761905,30.72222222,5.428571429,4.222222222
5,38.19047619,34.88888889,7.523809524,5.111111111
6,45.33333333,39.88888889,9.80952381,5.555555556
7,50.69047619,49.05555556,10.19047619,5.777777778
8,56.04761905,56.55555556,13.04761905,5.777777778
9,63.9047619,61.55555556,13.9047619,8.666666667
10,69.97619048,68.22222222,15.04761905,9.111111111
11,79.26190476,75.72222222,16.28571429,9.777777778
12,86.4047619,82.38888889,18.19047619,10.22222222
13,93.9047619,93.22222222,19.42857143,11.55555556
14,102.0952381,100.5,20.95238095,13.11111111
15,109.2380952,105.2777778,23.04761905,14.88888889
16,115.2857143,115.6666667,24.66666667,16.66666667
17,123.0952381,122.5,28.28571429,19.33333333
18,129.3809524,130.6111111,34.19047619,23.77777778
19,134.9047619,139.8888889,37.14285714,29.33333333
20,141.6904762,146.5555556,44.47619048,33.55555556
21,150.2380952,150.6666667,46.66666667,40.22222222
22,155.5714286,159.9444444,52.28571429,53.77777778
23,164.7380952,164.9444444,56,58.22222222
24,171.1666667,173.2777778,64.57142857,67.33333333
25,181.1666667,175.7777778,74.47619048,72.22222222
26,187.952381,184,81.14285714,84.44444444
27,194.9761905,189.9444444,93.71428571,94.88888889
28,200.6190476,196.6111111,102.7619048,100
29,206.5714286,206.1666667,113.047619,112.6666667
30,214.1428571,209.5,121.8095238,117.1111111
31,222.1190476,214.6666667,132.6666667,120.8888889
32,227.2857143,223.1666667,142.2857143,124.2222222
33,236.5952381,229.0555556,152.4761905,124.4444444
34,244.452381,233.2777778,158.0952381,134.6666667
35,253.0952381,236.7777778,177.2380952,136.6666667
36,258.5,243.8888889,189.1428571,137.7777778
37,264.9761905,247.7222222,197.6190476,138.6666667
38,272.5,252.2777778,208.3809524,139.5555556
39,281.5,258.6666667,212.6666667,142.4444444
40,288.4285714,267.7222222,229.8095238,147.1111111
41,295.547619,270.5,241.7142857,154.4444444
42,303.2142857,276.5,248.5714286,161.3333333
43,307.8333333,280.5555556,264.5714286,163.7777778
44,316.1666667,285.1666667,274.7619048,164
45,323.3095238,289.1666667,285.3333333,173.1111111
46,330.0952381,296.6666667,294,175.3333333
47,334.9761905,302.4444444,309.2380952,178.8888889
48,340.4047619,306.6666667,316.4761905,184.6666667
49,348.0952381,310.0555556,325.1428571,186
50,352.1666667,314.2777778,337.4285714,189.1111111
51,359.1904762,316.6666667,345.8095238,195.7777778
52,366.3333333,319.8333333,354.8571429,200.4444444
53,375.1428571,324.0555556,367.1428571,205.5555556
54,381.5714286,327.3888889,375.5238095,211.1111111
55,388.6190476,330.4444444,392.6666667,212.6666667
56,394.7619048,332.3333333,401.047619,217.3333333
57,401.3095238,335.0555556,410.4761905,219.7777778
58,407.7380952,336.4444444,423.8095238,222.8888889
59,413.6666667,337.0555556,440.3809524,223.1111111
60,419.2619048,338.5555556,447.4285714,228.6666667
61,424.9047619,338.3888889,459.6190476,231.5555556
62,431.547619,340.0555556,473.9047619,233.1111111
63,438.3333333,340.0555556,481.047619,238.2222222
64,444.3333333,340.9444444,495.9047619,242.8888889
65,449.7619048,340.1111111,505.3333333,245.5555556
66,453.2380952,337.3333333,518.8571429,246.2222222
67,458.547619,336.3888889,526.4761905,249.3333333
68,462.1428571,336.7222222,536.0952381,253.7777778
69,461.9047619,336.2222222,545.6190476,261.7777778
70,463.547619,333.8888889,553.3333333,267.3333333
71,464.1428571,332.7777778,560.952381,276
72,463.547619,329.8888889,566.5714286,286.4444444
73,465.0714286,326.5555556,571.5238095,293.1111111
74,463.5714286,325.1666667,575.7142857,297.7777778
75,462.6190476,321.8333333,581.7142857,307.3333333
76,460.2142857,319.0555556,586.1904762,316.2222222
77,457.2380952,317.1111111,589.8095238,329.1111111
78,453.7857143,316.3888889,591.2380952,341.5555556
79,450.452381,314.6111111,593.9047619,351.7777778
80,447,312.2777778,596.3809524,366
81,444.2619048,311.3333333,599.4285714,376.4444444
82,442,309.6666667,602.6666667,388.6666667
83,439.0238095,308,605.2380952,402
84,435.9285714,306.0555556,610.3809524,410.2222222
85,434.0238095,303.2777778,613.047619,416.8888889
86,431.5238095,301.6111111,615.8095238,427.1111111
87,428.3095238,299.1111111,619.8095238,432.6666667
88,425.8095238,295.2222222,621.9047619,438
89,423.4285714,293.2777778,625.1428571,455.7777778
90,421.5238095,291.3333333,630.3809524,464.6666667
91,419.9761905,288.2777778,633.2380952,478.8888889
92,417.4761905,285.7777778,637.8095238,486.8888889
93,414.8571429,284.3888889,642,493.7777778
94,412.8333333,282.1666667,643.6190476,497.7777778
95,410.452381,280.5,646.6666667,515.5555556
96,408.0714286,278,650.3809524,530.4444444
