x,y,color,pen down?
0,2.34,15,TRUE
1,6.64,15,TRUE
2,13.34,15,TRUE
3,20.64,15,TRUE
4,28.14,15,TRUE
5,35.64,15,TRUE
6,43.14,15,TRUE
7,50.64,15,TRUE
8,58.14,15,TRUE
9,65.64,15,TRUE
10,73.14,15,TRUE
11,80.64,15,TRUE
12,88.06,15,TRUE
13,95.28,15,TRUE
14,102.26,15,TRUE
15,108.84,15,TRUE
16,115.74,15,TRUE
17,122.88,15,TRUE
18,129.78,15,TRUE
19,136.72,15,TRUE
20,143.94,15,TRUE
21,150.12,15,TRUE
22,157.1,15,TRUE
23,163.92,15,TRUE
24,170.7,15,TRUE
25,177.52,15,TRUE
26,183.82,15,TRUE
27,190.56,15,TRUE
28,196.58,15,TRUE
29,202.88,15,TRUE
30,208.62,15,TRUE
31,215.12,15,TRUE
32,220.86,15,TRUE
33,225.64,15,TRUE
34,231.46,15,TRUE
35,236.68,15,TRUE
36,242.34,15,TRUE
37,247.72,15,TRUE
38,253.06,15,TRUE
39,257.68,15,TRUE
40,261.02,15,TRUE
41,264.48,15,TRUE
42,268.06,15,TRUE
43,271.24,15,TRUE
44,274.1,15,TRUE
45,275.48,15,TRUE
46,275.02,15,TRUE
47,274.68,15,TRUE
48,273.14,15,TRUE
49,270.92,15,TRUE
50,269.7,15,TRUE
51,267.88,15,TRUE
52,266.18,15,TRUE
53,264.84,15,TRUE
54,262.5,15,TRUE
55,260,15,TRUE
56,257.5,15,TRUE
57,255,15,TRUE
58,252.5,15,TRUE
59,250,15,TRUE
60,247.5,15,TRUE
61,245,15,TRUE
62,242.5,15,TRUE
63,240,15,TRUE
64,237.5,15,TRUE
65,235,15,TRUE
66,232.5,15,TRUE
67,230,15,TRUE
68,230,15,TRUE
69,227.5,15,TRUE
70,227.5,15,TRUE
71,225,15,TRUE
72,222.5,15,TRUE
73,220,15,TRUE
74,220,15,TRUE
75,220,15,TRUE
76,217.5,15,TRUE
77,215,15,TRUE
78,212.5,15,TRUE
79,210,15,TRUE
80,210,15,TRUE
81,207.5,15,TRUE
82,205,15,TRUE
83,202.5,15,TRUE
84,202.5,15,TRUE
85,202.5,15,TRUE
86,202.5,15,TRUE
87,202.5,15,TRUE
88,202.5,15,TRUE
89,202.5,15,TRUE
90,202.5,15,TRUE
91,202.5,15,TRUE
92,202.5,15,TRUE
