x,peer-follow-sim tag1,peer-follow-sim tag0
0,0,0
1,0.6,1.6
2,1.4,2
3,4,9.8
4,8.6,12.8
5,9.4,16
6,13.8,21.8
7,19,23
8,21.6,23.8
9,30.2,30.6
10,37.8,39.4
11,43,46.4
12,51.8,51.4
13,53.6,54
14,64.4,57.4
15,67,65.8
16,72,68.4
17,72.8,76.6
18,76.6,89.2
19,78.6,97.2
20,81.6,101.6
21,83.8,111.2
22,86.6,118.4
23,91.2,128.8
24,95,138.8
25,103.6,146
26,116,155.6
27,119.8,178.6
28,128.4,185.4
29,146.4,192.6
30,156.2,207
31,169.6,220.6
32,175,231.8
33,191.2,246.8
34,195.8,261.4
35,204.2,280
36,218.2,304.4
37,233.4,320.2
38,248.4,336.4
39,265,362.4
40,275.8,371.8
41,284.6,389.6
42,292.8,411.4
43,302.4,434
44,317.8,458.6
45,328.4,474.2
46,353.2,495.6
47,364,516.8
48,374.2,532.4
49,385.8,556.2
50,402.4,571.2
51,419.6,596.4
52,433.4,628
53,444,643
54,452.6,666
55,465.6,704.2
56,470.6,722
57,502,750.6
58,529.6,774.2
59,535.6,794
60,547.4,826
61,558.2,850
62,566.2,880.6
63,580,902.2
64,590.2,945
65,600.4,975.4
66,618,1002.4
67,624.6,1025
68,635.4,1050.6
69,649.8,1076.6
70,663,1107.4
71,679,1134.6
72,687.8,1161.6
73,708.2,1194
74,712.2,1228.4
75,724.8,1248.2
76,743.4,1263.8
77,754.6,1288.8
78,768.2,1318.8
