x,peer-follow-sim tag1,Peer-follow-sim tag0
0,0,0
1,0.2,0.4
2,0.4,0.4
3,9.4,0.8
4,13.4,1.6
5,13.4,2.2
6,14.4,2.4
7,20.6,2.8
8,21.6,3.4
9,23.8,3.4
10,24.6,3.4
11,30.4,3.4
12,31.4,3.4
13,32.4,3.4
14,36.2,3.4
15,37.2,3.4
16,43,3.4
17,46.2,3.4
18,52,3.4
19,57.8,3.4
20,68,3.4
21,76.4,3.8
22,101.4,3.8
23,111,4.4
24,124.1,6
25,136.1,7
26,156.5,7.7
27,186.4,8.1
28,215.4,8.8
29,233.6,9
30,254.3,10
31,298.6,11
32,333.5,12.6
33,366.4,13
34,407.4,13.2
35,421.6,14.2
36,492.4,14.2
37,516.8,15.8
38,545.4,16
39,572.6,16
40,592.4,17
41,624.3,17.2
42,698.7,17.6
43,737.7,18.4
44,772.8,19.2
45,801,20.6
46,847.6,22.6
47,876.1,24.4
48,927,25.6
49,955.6,28.8
50,967.8,30.7
51,1019.9,32
52,1047.6,32.8
53,1066.3,34.6
54,1119.1,35.6
55,1176.7,35.8
56,1223.7,37.2
57,1258.6,39.2
58,1290.2,41
59,1323.3,42.8
60,1368.5,44.9
61,1409.8,46.3
62,1445,49.5
63,1484.4,51.1
64,1512.2,52.5
65,1575.2,54.3
66,1610.4,55.1
67,1635.2,58.3
68,1698.6,60.5
69,1726,64.5
70,1764.8,65.5
71,1796.8,69.1
72,1829.4,70.7
73,1859,74.5
74,1941,76.1
75,1987.7,77.9
76,2015.2,82.1
77,2054.8,85.1
78,2054.8,85.1
79,2102.7,90.3
