"export-plot data (NetLogo 5.3.1)"
"helper-functions.nls.nlogo"
"07/11/2016 11:19:39:240 -0400"

"MODEL SETTINGS"
"the-random-seed","random-seed?"
"50","false"

"""Total Utility"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","85","0","34700","true","""Random Producer with tag 1""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""Random Producer with tag 1""","true","0","1","15","78"
"""Random producer with tag 0""","true","0","1","104","78"

"""Random Producer with tag 1""",,,,"""Random producer with tag 0"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","181.8","15","true","0","91.8","104","true"
"1","457.8","15","true","1","358","104","true"
"2","793.2","15","true","2","608","104","true"
"3","1133","15","true","3","759","104","true"
"4","1939.4","15","true","4","1153.8","104","true"
"5","2357.6","15","true","5","1309","104","true"
"6","2694","15","true","6","1755.8","104","true"
"7","3214.2","15","true","7","1898.8","104","true"
"8","3596","15","true","8","2060.4","104","true"
"9","4235","15","true","9","2372.4","104","true"
"10","4611.4","15","true","10","2850.4","104","true"
"11","5134.4","15","true","11","3073.2","104","true"
"12","5563.4","15","true","12","3321.4","104","true"
"13","5925.2","15","true","13","3613.2","104","true"
"14","6584.8","15","true","14","3878.8","104","true"
"15","7086.2","15","true","15","4119","104","true"
"16","7398.4","15","true","16","4552.4","104","true"
"17","8059.6","15","true","17","4682.2","104","true"
"18","8407.6","15","true","18","4876.6","104","true"
"19","8849","15","true","19","5277","104","true"
"20","9239","15","true","20","5610.4","104","true"
"21","9532","15","true","21","5877.6","104","true"
"22","10190.2","15","true","22","6333","104","true"
"23","10473","15","true","23","6622.6","104","true"
"24","10688.6","15","true","24","6900.6","104","true"
"25","11520.4","15","true","25","7183","104","true"
"26","11920.6","15","true","26","7447.2","104","true"
"27","12413","15","true","27","7795.6","104","true"
"28","12989.2","15","true","28","7957.6","104","true"
"29","13349.6","15","true","29","8284","104","true"
"30","13746.4","15","true","30","8662.6","104","true"
"31","14136.6","15","true","31","8940.4","104","true"
"32","14459.4","15","true","32","9298.2","104","true"
"33","14899.2","15","true","33","9640.4","104","true"
"34","15182.4","15","true","34","10184.2","104","true"
"35","15645.4","15","true","35","10410.4","104","true"
"36","15989.8","15","true","36","10719.2","104","true"
"37","16329.6","15","true","37","11231.4","104","true"
"38","16805","15","true","38","11436.2","104","true"
"39","17508.8","15","true","39","11791.2","104","true"
"40","17995.2","15","true","40","11990.8","104","true"
"41","18303.6","15","true","41","12461.6","104","true"
"42","18768.8","15","true","42","12891.2","104","true"
"43","19250.2","15","true","43","13080.2","104","true"
"44","19521.2","15","true","44","13335.4","104","true"
"45","19868.4","15","true","45","13659.6","104","true"
"46","20057.4","15","true","46","14099.2","104","true"
"47","20794.2","15","true","47","14334.4","104","true"
"48","21006.2","15","true","48","14622","104","true"
"49","21613.6","15","true","49","14900","104","true"
"50","21938.6","15","true","50","15224.6","104","true"
"51","22498.4","15","true","51","15497.4","104","true"
"52","23104.4","15","true","52","15655.4","104","true"
"53","23370.8","15","true","53","16140.2","104","true"
"54","24101","15","true","54","16540.4","104","true"
"55","24349.6","15","true","55","16791.6","104","true"
"56","24900","15","true","56","16930.8","104","true"
"57","25355","15","true","57","17267","104","true"
"58","25731.6","15","true","58","17457","104","true"
"59","26426.4","15","true","59","17706.4","104","true"
"60","26896.4","15","true","60","17968.2","104","true"
"61","27238.8","15","true","61","18293.6","104","true"
"62","27686.4","15","true","62","18385.2","104","true"
"63","28210.2","15","true","63","18750","104","true"
"64","28537.4","15","true","64","19208.2","104","true"
"65","29016.2","15","true","65","19662.2","104","true"
"66","29563","15","true","66","19941","104","true"
"67","29869.8","15","true","67","20227","104","true"
"68","30217","15","true","68","20559.8","104","true"
"69","30724","15","true","69","20875","104","true"
"70","31067.8","15","true","70","21218","104","true"
"71","31585.4","15","true","71","21563.6","104","true"
"72","31878","15","true","72","21855.6","104","true"
"73","32454.4","15","true","73","22171.2","104","true"
"74","33046.2","15","true","74","22496.4","104","true"
"75","33362","15","true","75","22980.6","104","true"
"76","33803","15","true","76","23276.6","104","true"
"77","34184","15","true","77","23546.8","104","true"
"78","34436.6","15","true","78","23975.8","104","true"
