"export-plot data (NetLogo 5.3.1)"
"helper-functions.nls.nlogo"
"07/13/2016 11:11:03:770 -0400"

"MODEL SETTINGS"
"the-random-seed","random-seed?"
"50","true"

"""Total Utility"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","85","0","692","true","""doc-pop producer with tag 1""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""doc-pop producer with tag 1""","true","0","1","15","78"
"""doc-pop producer with tag 0""","true","0","1","104","78"

"""doc-pop producer with tag 1""",,,,"""doc-pop producer with tag 0"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","15","true","0","0","104","true"
"1","0.4","15","true","1","2.6","104","true"
"2","1.6","15","true","2","3","104","true"
"3","3.6","15","true","3","6.8","104","true"
"4","6.4","15","true","4","7.8","104","true"
"5","10","15","true","5","14.6","104","true"
"6","15.8","15","true","6","15.6","104","true"
"7","19.2","15","true","7","19.2","104","true"
"8","21","15","true","8","19.8","104","true"
"9","27.6","15","true","9","25.2","104","true"
"10","32.6","15","true","10","30.2","104","true"
"11","38","15","true","11","33.2","104","true"
"12","47.2","15","true","12","37.6","104","true"
"13","54.2","15","true","13","43.2","104","true"
"14","61.8","15","true","14","47.6","104","true"
"15","69.6","15","true","15","52.2","104","true"
"16","74","15","true","16","57.6","104","true"
"17","80.2","15","true","17","63.8","104","true"
"18","88.4","15","true","18","70.4","104","true"
"19","94.6","15","true","19","75.8","104","true"
"20","104.6","15","true","20","81.8","104","true"
"21","110.8","15","true","21","86","104","true"
"22","117.2","15","true","22","91.4","104","true"
"23","123.8","15","true","23","95.2","104","true"
"24","134.4","15","true","24","101.8","104","true"
"25","145.4","15","true","25","110.8","104","true"
"26","152.6","15","true","26","115.6","104","true"
"27","160","15","true","27","122.8","104","true"
"28","169.8","15","true","28","133","104","true"
"29","174.4","15","true","29","138.6","104","true"
"30","186","15","true","30","153.4","104","true"
"31","196","15","true","31","158.4","104","true"
"32","204.2","15","true","32","172.6","104","true"
"33","208","15","true","33","183","104","true"
"34","221.8","15","true","34","191.6","104","true"
"35","228.2","15","true","35","204.4","104","true"
"36","240.6","15","true","36","210.4","104","true"
"37","249.8","15","true","37","213.6","104","true"
"38","260.8","15","true","38","219.8","104","true"
"39","274.4","15","true","39","225.4","104","true"
"40","285.6","15","true","40","233.2","104","true"
"41","303.4","15","true","41","243.8","104","true"
"42","314.8","15","true","42","248.6","104","true"
"43","322","15","true","43","254.8","104","true"
"44","329.4","15","true","44","259.4","104","true"
"45","338.4","15","true","45","268.4","104","true"
"46","344.2","15","true","46","274","104","true"
"47","356.8","15","true","47","279.4","104","true"
"48","367.4","15","true","48","290.6","104","true"
"49","374.2","15","true","49","296.2","104","true"
"50","391.8","15","true","50","306.6","104","true"
"51","399","15","true","51","312.8","104","true"
"52","407.6","15","true","52","321","104","true"
"53","418.4","15","true","53","332.8","104","true"
"54","430.2","15","true","54","340.6","104","true"
"55","437.6","15","true","55","347.6","104","true"
"56","454.6","15","true","56","360.6","104","true"
"57","459.8","15","true","57","374.4","104","true"
"58","468.4","15","true","58","383.4","104","true"
"59","477.4","15","true","59","391.4","104","true"
"60","492.6","15","true","60","399.6","104","true"
"61","505.2","15","true","61","408.8","104","true"
"62","519.2","15","true","62","415.4","104","true"
"63","526.8","15","true","63","427.2","104","true"
"64","538.2","15","true","64","441.6","104","true"
"65","544.6","15","true","65","452","104","true"
"66","565.8","15","true","66","456.2","104","true"
"67","571.8","15","true","67","469","104","true"
"68","579.4","15","true","68","478.8","104","true"
"69","592.4","15","true","69","489","104","true"
"70","599.8","15","true","70","499.4","104","true"
"71","606.6","15","true","71","515.4","104","true"
"72","622","15","true","72","522.6","104","true"
"73","628.8","15","true","73","533.8","104","true"
"74","638","15","true","74","549.6","104","true"
"75","646","15","true","75","556","104","true"
"76","662.8","15","true","76","574.4","104","true"
"77","674.2","15","true","77","584.6","104","true"
"78","685.8","15","true","78","594.8","104","true"
