"export-plot data (NetLogo 5.3.1)"
"helper-functions.nls.nlogo"
"07/08/2016 17:47:03:003 -0400"

"MODEL SETTINGS"
"random-seed?","the-random-seed"
"false","50"

"""Total Utility"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","108","0","209","true","""total""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""total""","true","1","1","15","91"

"""total"""
"x","y","color","pen down?"
"0","3.14","15","true"
"1","5.32","15","true"
"2","7.5","15","true"
"3","10.24","15","true"
"4","13.18","15","true"
"5","15.92","15","true"
"6","18.42","15","true"
"7","21.12","15","true"
"8","23.22","15","true"
"9","25.76","15","true"
"10","27.98","15","true"
"11","29.88","15","true"
"12","32.42","15","true"
"13","34.88","15","true"
"14","37.74","15","true"
"15","40.56","15","true"
"16","42.34","15","true"
"17","44.88","15","true"
"18","47.5","15","true"
"19","49.36","15","true"
"20","51.94","15","true"
"21","54.8","15","true"
"22","57.1","15","true"
"23","59.12","15","true"
"24","61.74","15","true"
"25","63.8","15","true"
"26","66.1","15","true"
"27","68.96","15","true"
"28","71.26","15","true"
"29","73.52","15","true"
"30","75.82","15","true"
"31","78.4","15","true"
"32","81.34","15","true"
"33","83.48","15","true"
"34","85.46","15","true"
"35","88.44","15","true"
"36","91.42","15","true"
"37","93.96","15","true"
"38","96.58","15","true"
"39","99.6","15","true"
"40","102.14","15","true"
"41","104.84","15","true"
"42","107.5","15","true"
"43","109.88","15","true"
"44","112.74","15","true"
"45","115.36","15","true"
"46","118.34","15","true"
"47","120.36","15","true"
"48","122.94","15","true"
"49","125.6","15","true"
"50","128.02","15","true"
"51","130.4","15","true"
"52","133.1","15","true"
"53","134.84","15","true"
"54","138.02","15","true"
"55","139.76","15","true"
"56","142.02","15","true"
"57","144.2","15","true"
"58","146.02","15","true"
"59","148.72","15","true"
"60","151.54","15","true"
"61","154.72","15","true"
"62","157.06","15","true"
"63","159.24","15","true"
"64","161.66","15","true"
"65","163.84","15","true"
"66","166.98","15","true"
"67","169.4","15","true"
"68","169.4","15","true"
"69","172.06","15","true"
"70","174.88","15","true"
"71","177.66","15","true"
"72","177.66","15","true"
"73","179.84","15","true"
"74","182.42","15","true"
"75","184.96","15","true"
"76","184.96","15","true"
"77","184.96","15","true"
"78","187.42","15","true"
"79","187.42","15","true"
"80","187.42","15","true"
"81","189.84","15","true"
"82","189.84","15","true"
"83","192.26","15","true"
"84","192.26","15","true"
"85","194.84","15","true"
"86","194.84","15","true"
"87","194.84","15","true"
"88","194.84","15","true"
"89","197.62","15","true"
"90","197.62","15","true"
"91","197.62","15","true"
