200
Taste 1 , Taste 0
1.8333333333333333 , 2.3666666666666667
4.916666666666667 , 7.483333333333333
10.333333333333334 , 14.533333333333333
18.516666666666666 , 19.95
25.6 , 27.2
34.06666666666667 , 33.2
41.06666666666667 , 41.2
49.11666666666667 , 47.95
55.36666666666667 , 56.7
62.36666666666667 , 64.7
71.11666666666666 , 70.95
78.36666666666666 , 78.7
86.36666666666666 , 85.7
94.11666666666666 , 92.95
102.61666666666666 , 99.38333333333334
111.21666666666667 , 105.38333333333334
117.98333333333333 , 112.55
126.46666666666667 , 118.73333333333333
132.46666666666667 , 126.46666666666667
139.9 , 132.43333333333334
147.61666666666667 , 138.51666666666668
155.35 , 144.25
162 , 150.8
167.38333333333333 , 157.95
174.55 , 164.58333333333334
181.3 , 171.3
186.95 , 178.91666666666666
192.85 , 185.68333333333334
198.05 , 193.68333333333334
204.1 , 199.76666666666668
209.73333333333332 , 206.13333333333333
215.63333333333333 , 212.7
221.9 , 218.83333333333334
227.65 , 224.28333333333333
236.5 , 228.3
242.95 , 234.65
247.43333333333334 , 241.43333333333334
250.6 , 247.33333333333334
254.86666666666667 , 253.46666666666667
259.4166666666667 , 257.5833333333333
263.26666666666665 , 261.73333333333335
265.46666666666664 , 265.46666666666664
267.1 , 268.3
269.0833333333333 , 271.45
271.81666666666666 , 274.18333333333334
271.51666666666665 , 274.48333333333335
272.18333333333334 , 273.8833333333333
271.3 , 273.23333333333335
270.8 , 273.2
270.21666666666664 , 273.51666666666665
268.06666666666666 , 272.8666666666667
266.15 , 270.71666666666664
264.81666666666666 , 268.51666666666665
263.73333333333335 , 265.93333333333334
261.4 , 263.26666666666665
259.3 , 260.5
256.8333333333333 , 258.1666666666667
254.25 , 255.75
251.66666666666666 , 253.33333333333334
249.41666666666666 , 250.58333333333334
247.08333333333334 , 247.91666666666666
244.5 , 245.5
242.08333333333334 , 242.91666666666666
239.5 , 240.5
237 , 238
235 , 235
232.5 , 232.5
229.75 , 230.25
227.25 , 227.75
224.5 , 225.5
222.25 , 222.75
219.75 , 220.25
217.66666666666666 , 217.33333333333334
215 , 215
212.25 , 212.75
209.83333333333334 , 210.16666666666666
207.16666666666666 , 207.83333333333334
204.66666666666666 , 205.33333333333334
202.75 , 202.25
200 , 200
