1000
Taste 1 , Taste 0
2.6333333333333333 , 2.9
6.066666666666666 , 7.733333333333333
12.8 , 13.6
19.35 , 21.583333333333332
25.616666666666667 , 29.516666666666666
33.03333333333333 , 36.766666666666666
42.28333333333333 , 42.516666666666666
52.03333333333333 , 47.766666666666666
60.78333333333333 , 54.016666666666666
67.53333333333333 , 62.266666666666666
75.03333333333333 , 69.76666666666667
83.78333333333333 , 76.01666666666667
90.03333333333333 , 84.76666666666667
96.53333333333333 , 93.26666666666667
104.28333333333333 , 100.51666666666667
112.45 , 107.01666666666667
121.18333333333334 , 112.81666666666666
128.43333333333334 , 119.23333333333333
137.36666666666667 , 124.96666666666667
144.35 , 132.58333333333334
151.16666666666666 , 139.43333333333334
158.23333333333332 , 145.9
164.46666666666667 , 153.86666666666667
170.26666666666668 , 160.33333333333334
177.15 , 166.98333333333332
184.38333333333333 , 173.61666666666667
189.38333333333333 , 181.68333333333334
197.41666666666666 , 187.11666666666667
203.63333333333333 , 194.5
210.1 , 201.43333333333334
216.43333333333334 , 208.76666666666668
222.8 , 215.73333333333332
229.15 , 221.05
235.7 , 225.76666666666668
242.16666666666666 , 232.03333333333333
246.18333333333334 , 238.48333333333332
252.2 , 243.06666666666666
258.26666666666665 , 248.73333333333332
262.2 , 254.66666666666666
265.43333333333334 , 259.1666666666667
270.3333333333333 , 262.2
274.3 , 265.8333333333333
276.6333333333333 , 268.7
278.18333333333334 , 271.0833333333333
277.8333333333333 , 273.1666666666667
277.03333333333336 , 274.5
275.1166666666667 , 274.95
273.81666666666666 , 275.1166666666667
271.93333333333334 , 274.8666666666667
269.76666666666665 , 274.7
266.93333333333334 , 273.53333333333336
265.1 , 271.8333333333333
263.51666666666665 , 269.55
260.93333333333334 , 267.4
258.1 , 265.23333333333335
255.66666666666666 , 263.73333333333335
252.41666666666666 , 262.5833333333333
249.83333333333334 , 260.1666666666667
247.5 , 257.5
244.91666666666666 , 255.08333333333334
242.33333333333334 , 252.66666666666666
240.33333333333334 , 249.66666666666666
237.33333333333334 , 247.66666666666666
234.83333333333334 , 245.16666666666666
232.08333333333334 , 242.91666666666666
230 , 240
227.5 , 237.5
225.25 , 234.75
222.25 , 232.75
220 , 230
217.91666666666666 , 227.08333333333334
215 , 225
212.66666666666666 , 222.33333333333334
210.33333333333334 , 219.66666666666666
208.5 , 216.5
206.58333333333334 , 213.41666666666666
205.08333333333334 , 209.91666666666666
203.66666666666666 , 206.33333333333334
201.66666666666666 , 203.33333333333334
200 , 200
