Taste 1 (avg),Taste 0 (avg)
2.253333333,2.58
5.826666667,6.28
11.88666667,12.57333333
19.15333333,19.88666667
26.58,27.32666667
34.05333333,34.82666667
41.55333333,42.32666667
49.05333333,49.82666667
56.55333333,57.32666667
64.05333333,64.82666667
71.55333333,72.32666667
79.05333333,79.82666667
86.55333333,87.32666667
94.05333333,94.82666667
101.5533333,102.3266667
109.0533333,109.8266667
116.5533333,117.3266667
124.0533333,124.8266667
131.5533333,132.3066667
139.02,139.7066667
146.46,147.16
153.84,154.3733333
161.0533333,161.4666667
168.1133333,168.3733333
175.04,175.1533333
181.8733333,181.7733333
188.4533333,188.6
195.1,195.3466667
201.6733333,202.12
208.3133333,208.5666667
214.72,214.7666667
220.76,221.1466667
227.2333333,227.5
233.4466667,233.6266667
239.6333333,239.8066667
245.9066667,245.58
251.9333333,251.4
257.5533333,257.1266667
263.0533333,262.62
267.3533333,267.6933333
271.8733333,271.64
275.8066667,275.9333333
278.8133333,279.2733333
281.26,281.12
282.7933333,282.7133333
282.7,282.7266667
281.5,281.5
279.7266667,279.66
277.5,277.3
275,274.8133333
272.5,272.5
270,270
267.5,267.5
265,265
262.5,262.5
260,260
257.5,257.5
255,255
252.5,252.5
250,250
247.5,247.5
245,245
242.5,242.5
240,240
237.5,237.5
235,235
232.5,232.5
230,230
227.5,227.5
225,225
222.5,222.5
220,220
217.5,217.5
215,215
212.5,212.5
210,210
207.5,207.5
205,205
202.5,202.5
200,200
