500
Taste 1 , Taste 0
1.055 , 0.06
1.075 , 0.145
1.08 , 0.33
1.08 , 0.39
1.08 , 0.44
1.08 , 0.545
1.08 , 0.695
1.1 , 0.895
1.325 , 1.01
2.245 , 1.085
3.445 , 1.185
4.345 , 1.41
5.47 , 1.51
6.39 , 1.65
7.125 , 1.865
7.695 , 1.945
7.985 , 2.145
8.585 , 2.31
9.345 , 2.465
9.915 , 2.56
10.205 , 2.74
10.53 , 2.885
10.875 , 3.05
11.45 , 3.18
12.225 , 3.28
12.875 , 3.36
13.39 , 3.455
13.88 , 3.63
14.435 , 3.695
14.985 , 3.75
15.54 , 3.91
16.305 , 3.995
17.065 , 4.015
17.755 , 4.065
18.645 , 4.185
19.625 , 4.195
20.305 , 4.255
21.34 , 4.325
22.415 , 4.42
23.165 , 4.665
23.875 , 4.76
24.4 , 4.905
24.71 , 4.995
25.21 , 5.07
25.55 , 5.14
26.37 , 5.19
27.075 , 5.28
27.985 , 5.295
28.965 , 5.33
30.125 , 5.37
31.27 , 5.455
32.395 , 5.525
33.435 , 5.595
34.45 , 5.665
35.73 , 5.69
36.74 , 5.78
37.84 , 5.79
38.83 , 5.805
39.99 , 5.86
41.18 , 5.88
42.37 , 5.915
43.6 , 5.95
44.855 , 6
46.015 , 6
47.27 , 6
48.415 , 6
49.475 , 6
50.57 , 6
51.585 , 6
52.115 , 6
52.67 , 6
53.165 , 6
53.345 , 6
53.5 , 6
53.715 , 6
53.815 , 6
53.905 , 6
53.98 , 6
54 , 6
54 , 6
