Tag 1(avg),Tag 0 (avg)
0.5255,0.1075
1.3705,0.109
2.3815,0.109
3.4245,0.109
4.469,0.109
5.512,0.109
6.5615,0.109
7.6115,0.109
8.6615,0.109
9.7115,0.109
10.76,0.109
11.81,0.109
12.86,0.109
13.91,0.109
14.96,0.109
16.01,0.109
17.06,0.109
18.11,0.109
19.16,0.109
20.21,0.117
21.256,0.144
22.2985,0.174
23.332,0.2445
24.3395,0.334
25.3385,0.3965
26.33,0.436
27.324,0.4795
28.2785,0.525
29.246,0.5675
30.221,0.603
31.1815,0.6405
32.1185,0.7045
33.0585,0.773
34.021,0.8135
34.9595,0.8555
35.8685,0.918
36.717,0.987
37.6055,1.057
38.452,1.1385
39.221,1.257
40.033,1.349
40.683,1.5125
41.2315,1.691
41.5665,2.0005
41.816,2.336
41.9545,2.7275
42,3.15
42,3.6
42,4.05
42,4.5
42,4.95
42,5.4
42,5.85
42,6.3
42,6.75
42,7.2
42,7.65
42,8.1
42,8.55
42,9
42,9.45
42,9.9
42,10.35
42,10.8
42,11.25
42,11.7
42,12.15
42,12.6
42,13.05
42,13.5
42,13.95
42,14.4
42,14.85
42,15.3
42,15.75
42,16.2
42,16.65
42,17.1
42,17.55
42,18
