800
Taste 1 , Taste 0
0.535 , 0
1.365 , 0
2.42 , 0
3.38 , 0
4.27 , 0
5.265 , 0
6.24 , 0
7.315 , 0
8.415 , 0
9.59 , 0
10.815 , 0
11.94 , 0
12.915 , 0
13.88 , 0
14.89 , 0
15.84 , 0
16.84 , 0
17.755 , 0
18.825 , 0
19.925 , 0.01
20.935 , 0.03
21.97 , 0.045
22.755 , 0.09
23.835 , 0.15
24.835 , 0.19
25.87 , 0.19
27.035 , 0.19
28.035 , 0.2
29.19 , 0.2
30.105 , 0.265
30.915 , 0.37
31.98 , 0.375
32.825 , 0.425
33.84 , 0.51
34.6 , 0.6
35.52 , 0.715
36.4 , 0.84
37.235 , 0.895
38.09 , 0.97
38.84 , 1.055
39.43 , 1.14
39.98 , 1.33
40.51 , 1.675
40.965 , 1.865
41.275 , 2.17
41.53 , 2.52
41.705 , 2.92
41.785 , 3.375
41.81 , 3.75
41.86 , 4.325
41.905 , 4.8
41.93 , 5.275
41.93 , 5.7
42 , 6.1
42 , 6.625
42 , 7.025
42 , 7.6
42 , 7.95
42 , 8.55
42 , 9.075
42 , 9.325
42 , 9.8
42 , 10.25
42 , 10.625
42 , 11.1
42 , 11.425
42 , 12
42 , 12.425
42 , 12.875
42 , 13.175
42 , 13.6
42 , 14
42 , 14.4
42 , 14.775
42 , 15.325
42 , 15.825
42 , 16.425
42 , 16.875
42 , 17.475
42 , 18
