100
Taste 1 , Taste 0
0.465 , 0.225
1.445 , 0.46
2.485 , 0.805
3.405 , 1.27
4.27 , 1.66
4.835 , 2.155
5.315 , 2.63
5.69 , 3.13
5.885 , 3.505
5.965 , 3.805
6.025 , 4.205
6.055 , 4.655
6.06 , 5.15
6.13 , 5.625
6.39 , 5.985
6.605 , 6.38
7.285 , 6.87
7.855 , 7.335
8.155 , 7.685
8.33 , 8.05
8.375 , 8.345
8.405 , 8.785
9.01 , 9.18
9.555 , 9.74
10.06 , 10.17
10.535 , 10.62
11.02 , 11.06
11.275 , 11.52
11.48 , 12.045
11.91 , 12.45
12.59 , 12.835
13.625 , 13.17
14.455 , 13.52
15.51 , 13.87
16.37 , 14.225
16.86 , 14.73
17.425 , 15.215
18.055 , 15.55
18.82 , 15.86
19.645 , 16.265
20.335 , 16.6
20.905 , 16.845
21.285 , 17.075
21.575 , 17.225
21.655 , 17.5
21.98 , 17.69
22.7 , 17.79
23.535 , 17.85
24.645 , 17.875
25.64 , 17.905
26.61 , 17.91
27.52 , 17.95
28.315 , 17.985
29.05 , 17.995
29.975 , 17.995
30.85 , 17.995
31.875 , 18
32.825 , 18
33.875 , 18
34.905 , 18
35.88 , 18
36.88 , 18
37.9 , 18
38.895 , 18
39.57 , 18
40.275 , 18
40.835 , 18
41.215 , 18
41.52 , 18
41.76 , 18
41.88 , 18
41.93 , 18
41.995 , 18
42 , 18
42 , 18
42 , 18
42 , 18
42 , 18
42 , 18
42 , 18
