Doc- Major,Peer-like-sim Minor,Producer Taste 1
-0.5,3.055555556,36
-3,7.666666667,42
-5.5,14.72222222,42
-8,22.11111111,42
-10.5,29.61111111,42
-13,37.11111111,42
-15.5,44.61111111,42
-18,52.11111111,42
-20.5,59.61111111,42
-23,67.11111111,42
-25.5,74.61111111,42
-28,82.11111111,42
-30.5,89.61111111,42
-25.23809524,96,89
-25.5,103.0555556,249
-26.04761905,110,255
-26.54761905,116.6111111,304
-29,123.4444444,336
-29.69047619,130.0555556,353
-32,136.2222222,375
-34.5,143.2777778,378
-35.0952381,149.8888889,378
-37.5,155.9444444,418
-40,162.7777778,420
-40.4047619,168.3888889,438
-42.9047619,175.5555556,464
-45.35714286,182.1666667,465
-45.9047619,189.2222222,471
-46.5,194.5,532
-45.04761905,199.6666667,607
-47.45238095,204.9444444,630
-46.28571429,210.5555556,657
-46.54761905,216.8333333,752
-47.0952381,223,776
-47.69047619,229.7222222,831
-50,235.1111111,837
-48.5952381,241.7222222,896
-51,245.3333333,922
-53.26190476,250.3888889,929
-52.04761905,255.1111111,949
-50.5952381,258.3888889,1074
-49.0952381,262.6666667,1122
-47.5,268.3888889,1252
-48.0952381,269.5555556,1291
-44.54761905,270.5,1330
-39.0952381,272.2222222,1494
-37.5,274.3888889,1642
-32.04761905,272,1779
-24.64285714,269.8333333,1870
-19.04761905,272.3333333,2164
-17.5,272.5,2257
-10,270,2435
-2.5,267.5,2725
5,265,2940
12.5,262.5,3140
20,260,3330
27.5,257.5,3570
35,255,3655
42.5,252.5,3935
50,250,4200
57.5,247.5,4215
65,245,4560
72.5,242.5,4700
80,240,4990
87.5,237.5,5095
95,235,5350
102.5,232.5,5495
110,230,5875
117.5,227.5,6085
125,225,6280
132.5,222.5,6415
140,220,6635
147.5,217.5,6750
155,215,6935
162.5,212.5,7155
170,210,7485
177.5,207.5,7620
185,205,7935
192.5,202.5,8020
200,200,8230
 ,,
