Consumer taste0-minor,Producer taste1-major
2.611111111,21.75238095
6.733333333,61.46666667
12.72222222,81.5
19.95555556,89.92857143
27.34444444,91.2047619
34.73333333,92.14285714
42.23333333,92.4
49.66666667,92.63333333
57.12222222,93.3
64.62222222,93.4
72.12222222,93.4
79.62222222,93.4
87.12222222,93.4
94.53333333,94.03809524
101.8777778,95.3
109.2222222,96.94761905
116.5444444,98.30952381
123.6666667,101.152381
130.4333333,107.0142857
136.9555556,114.8809524
143.2111111,126.1619048
149.8888889,134.1190476
156.4555556,141.647619
162.7333333,151.9714286
169.3666667,161.1095238
176.0444444,168.347619
182.2333333,179.6666667
188.0222222,194.0904762
193.9444444,206.8333333
200.2,219.952381
206.0333333,234.1095238
211.5333333,251.7190476
217.1,268.4428571
223,283.8
229.0555556,297.7428571
234.4222222,314.4190476
239.8111111,331.4619048
244.9777778,353.0047619
249.5888889,375.9761905
254.6444444,399.4
259.4555556,425.4190476
262.4222222,453.4
265.9666667,497.8333333
270.9333333,521.5238095
273.3888889,558.7380952
275.7777778,599.3761905
276.4333333,655.5428571
276.3333333,720.1952381
275.4777778,792.6428571
273.4444444,871.5571429
271.5222222,952.552381
269.5555556,1041.919048
267.1,1124.728571
264.8,1220.52381
262.5,1305.690476
260,1398.333333
257.5,1480.547619
255,1575.642857
252.5,1658.142857
250,1751.452381
247.5,1844
245,1935.380952
242.5,2024.690476
240,2116.380952
237.5,2205.785714
235,2293.690476
232.5,2383.642857
230,2477.714286
227.5,2565.5
225,2655.380952
222.5,2744.666667
220,2831.428571
217.5,2926.047619
215,3008.095238
212.5,3106.97619
210,3197.738095
207.5,3286.333333
205,3377.595238
202.5,3464.52381
200,3552.714286
