Source,Target
1,216
1,219
1,240
1,252
1,267
1,291
1,292
1,342
1,350
1,382
1,391
2,216
2,219
2,240
2,252
2,267
2,291
2,292
2,342
2,350
2,382
2,391
3,216
3,219
3,240
3,252
3,267
3,291
3,292
3,342
3,350
3,382
3,391
4,216
4,219
4,240
4,252
4,267
4,291
4,292
4,342
4,350
4,382
4,391
5,216
5,219
5,240
5,252
5,267
5,291
5,292
5,342
5,350
5,382
5,391
6,216
6,219
6,240
6,252
6,267
6,291
6,292
6,342
6,350
6,382
6,391
7,216
7,219
7,240
7,252
7,267
7,291
7,292
7,342
7,350
7,382
7,391
8,216
8,219
8,240
8,252
8,267
8,291
8,292
8,342
8,350
8,382
8,391
9,216
9,219
9,240
9,252
9,267
9,291
9,292
9,342
9,350
9,382
9,391
10,216
10,219
10,240
10,252
10,267
10,291
10,292
10,342
10,350
10,382
10,391
11,216
11,219
11,240
11,252
11,267
11,291
11,292
11,342
11,350
11,382
11,391
12,216
12,219
12,240
12,252
12,267
12,291
12,292
12,342
12,350
12,382
12,391
13,216
13,219
13,240
13,252
13,267
13,291
13,292
13,342
13,350
13,382
13,391
14,216
14,219
14,240
14,252
14,267
14,291
14,292
14,342
14,350
14,382
14,391
15,216
15,219
15,240
15,252
15,267
15,291
15,292
15,342
15,350
15,382
15,391
16,216
16,219
16,240
16,252
16,267
16,291
16,292
16,342
16,350
16,382
16,391
17,216
17,219
17,240
17,252
17,267
17,291
17,292
17,342
17,350
17,382
17,391
18,216
18,219
18,240
18,252
18,267
18,291
18,292
18,342
18,350
18,382
18,391
19,216
19,219
19,240
19,252
19,267
19,291
19,292
19,342
19,350
19,382
19,391
20,216
20,219
20,240
20,252
20,267
20,291
20,292
20,342
20,350
20,382
20,391
21,216
21,219
21,240
21,252
21,267
21,291
21,292
21,342
21,350
21,382
21,391
22,216
22,219
22,240
22,252
22,267
22,291
22,292
22,342
22,350
22,382
22,391
23,216
23,219
23,240
23,252
23,267
23,291
23,292
23,342
23,350
23,382
23,391
24,216
24,219
24,240
24,252
24,267
24,291
24,292
24,342
24,350
24,382
24,391
25,216
25,219
25,240
25,252
25,267
25,291
25,292
25,342
25,350
25,382
25,391
26,216
26,219
26,240
26,252
26,267
26,291
26,292
26,342
26,350
26,382
26,391
27,216
27,219
27,240
27,252
27,267
27,291
27,292
27,342
27,350
27,382
27,391
28,216
28,219
28,240
28,252
28,267
28,291
28,292
28,342
28,350
28,382
28,391
29,216
29,219
29,240
29,252
29,267
29,291
29,292
29,342
29,350
29,382
29,391
30,216
30,219
30,240
30,252
30,267
30,291
30,292
30,342
30,350
30,382
30,391
31,216
31,219
31,240
31,252
31,267
31,291
31,292
31,342
31,350
31,382
31,391
32,216
32,219
32,240
32,252
32,267
32,291
32,292
32,342
32,350
32,382
32,391
33,216
33,219
33,240
33,252
33,267
33,291
33,292
33,342
33,350
33,382
33,391
34,216
34,219
34,240
34,252
34,267
34,291
34,292
34,342
34,350
34,382
34,391
35,216
35,219
35,240
35,252
35,267
35,291
35,292
35,342
35,350
35,382
35,391
36,216
36,219
36,240
36,252
36,267
36,291
36,292
36,342
36,350
36,382
36,391
37,216
37,219
37,240
37,252
37,267
37,291
37,292
37,342
37,350
37,382
37,391
38,216
38,219
38,240
38,252
38,267
38,291
38,292
38,342
38,350
38,382
38,391
39,216
39,219
39,240
39,252
39,267
39,291
39,292
39,342
39,350
39,382
39,391
40,216
40,219
40,240
40,252
40,267
40,291
40,292
40,342
40,350
40,382
40,391
41,216
41,219
41,240
41,252
41,267
41,291
41,292
41,342
41,350
41,382
41,391
42,216
42,219
42,240
42,252
42,267
42,291
42,292
42,342
42,350
42,382
42,391
43,1
43,2
43,8
43,13
43,15
43,17
43,19
43,20
43,23
43,28
43,31
43,33
43,35
43,36
43,40
43,47
43,50
43,52
43,55
43,57
43,58
43,59
43,62
43,65
43,68
43,70
43,71
43,75
43,76
43,78
43,86
43,88
43,91
43,94
43,98
43,102
43,114
43,116
43,118
43,124
43,126
43,128
43,131
43,134
43,137
43,139
43,141
43,143
43,147
