Source , Target 
1, 264
1, 294
1, 315
2, 413
3, 345
3, 397
3, 448
4, 326
4, 442
5, 300
6, 272
6, 389
6, 405
7, 292
7, 367
8, 308
9, 422
9, 430
10, 342
11, 299
11, 313
11, 409
12, 410
12, 422
12, 450
13, 316
13, 337
13, 351
14, 295
14, 312
15, 281
15, 338
16, 277
16, 361
17, 281
18, 299
18, 303
19, 314
19, 368
19, 406
20, 283
20, 287
20, 336
20, 380
21, 285
21, 408
21, 418
22, 307
22, 377
22, 429
22, 447
23, 287
24, 380
24, 385
25, 295
25, 337
25, 401
25, 423
26, 278
26, 300
26, 406
27, 274
27, 285
27, 365
27, 459
28, 408
29, 349
29, 351
29, 452
30, 282
31, 272
31, 279
31, 330
32, 273
32, 333
33, 369
33, 419
33, 438
34, 419
35, 339
35, 365
35, 443
36, 314
36, 442
37, 341
37, 354
37, 427
38, 409
38, 448
39, 286
39, 336
39, 378
40, 303
40, 330
40, 346
41, 327
42, 301
43, 144
44, 229
45, 78
45, 95
45, 98
45, 115
46, 187
46, 191
47, 62
47, 65
47, 74
47, 110
47, 174
48, 138
48, 177
49, 79
49, 169
49, 214
49, 236
50, 179
50, 218
50, 229
51, 87
51, 167
51, 220
52, 61
52, 133
52, 177
52, 229
53, 64
53, 122
53, 208
54, 150
54, 215
55, 79
55, 251
56, 80
56, 203
57, 144
57, 176
57, 238
58, 134
58, 244
59, 71
59, 114
59, 167
60, 87
60, 177
